year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Australia;Melbourne;; ;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Australia;Sydney;; ;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Belgium;Brussels ;;19,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Canada;Calgary;;15,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Canada;Montreal;; ;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Canada;Toronto;;27,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Denmark;Copenhagen ;;15,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Finland;Helsinki ;;16,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;France;Paris ;;21,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Greece;Athens ;;21;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Netherlands;Amsterdam ;;20,3;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Newzealand;Auckland ;;14,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Russia;Moscow;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Russia;Saint Petersburg ;;13,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Spain;Barcelona ;;33;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;United Kingdom;London;; ;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;United States of America;Los Angeles;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;United States of America;New York ;;24,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;United States of America;Phoenix;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;United States of America;Washington, D.C.;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Armenia;Yerevan ;;2,2;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
2013;;proportion_land_allocated_to_street;Proportion of land allocated to street;p;total;;Bangladesh;Dhaka;;5,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density
