"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2006;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Benin";;;27.5;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2001;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Benin";;;12.7;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1996;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Benin";;;9.5;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2003;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Burkina Faso";;;5.8;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Burkina Faso";;;3.6;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1992;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Burkina Faso";;;5.9;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1998;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Cameroon";;;53.9;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1991;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Cameroon";;;41.4;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1994;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Central African Republic";;;18.5;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2004;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Chad";;;9.4;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Congo";;;62;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Côte d’Ivoire";;;27.6;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1994;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Côte d’Ivoire";;;24.8;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Egypt";;;64.2;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2003;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Egypt";;;42.9;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Egypt";;;34.8;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1995;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Egypt";;;30;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Ethiopia";;;31.7;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Ethiopia";;;15.4;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Ghana";;;47.2;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1993;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Ghana";;;30.8;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Guinea";;;14.8;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Guinea";;;4.3;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2001;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Mali";;;5.7;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1996;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Mali";;;4.1;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2004;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Morocco";;;24.6;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1992;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Morocco";;;12;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2003;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Mozambique";;;21.6;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1997;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Mozambique";;;23.3;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2003;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Nigeria";;;37.9;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Nigeria";;;45.6;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1990;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Nigeria";;;27.2;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Rwanda";;;75.2;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Rwanda";;;62;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1992;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Rwanda";;;59.6;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Senegal";;;24.4;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1997;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Senegal";;;11.4;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1993;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Senegal";;;6.3;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1998;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"South Africa";;;87.9;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2001;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Uganda";;;52.5;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1995;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Uganda";;;48;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2004;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Tanzania";;;61.5;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Tanzania";;;57.6;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1996;;"literacy_rate_women_rural";"Literacy rate by shelter deprivation (Women) – Rural";"p";"Rural";;"Tanzania";;;60.2;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
