1950;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.63";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1951;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.63";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1952;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.63";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1953;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.63";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1954;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.63";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1955;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.47";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1956;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.47";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1957;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.47";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1958;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.47";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1959;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.47";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1960;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.11";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1961;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.11";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1962;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.11";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1963;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.11";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1964;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"1.11";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1965;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"0.57";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1966;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"0.57";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1967;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"0.57";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1968;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"0.57";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1969;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"0.57";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1970;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"0.58";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1971;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"0.58";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1972;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"0.58";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1973;"";"avg_annual_rate_change_percentage_total";"Average annual rate of change of population – Total";"p";"Total";"";"Russian Federation";"";"";"0.58";"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
