"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1985;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"1.54";"Urban numbers 1.0 data";"Population"
1980;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"1.57";"Urban numbers 1.0 data";"Population"
1965;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"3.3";"Urban numbers 1.0 data";"Population"
1960;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"3.14";"Urban numbers 1.0 data";"Population"
2035;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"1.82";"Urban numbers 1.0 data";"Population"
2030;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"1.93";"Urban numbers 1.0 data";"Population"
2015;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"1.86";"Urban numbers 1.0 data";"Population"
2010;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"1.73";"Urban numbers 1.0 data";"Population"
1955;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"3.19";"Urban numbers 1.0 data";"Population"
1950;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"3.23";"Urban numbers 1.0 data";"Population"
1990;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"1.51";"Urban numbers 1.0 data";"Population"
2045;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"1.58";"Urban numbers 1.0 data";"Population"
1995;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"1.49";"Urban numbers 1.0 data";"Population"
2040;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"1.7";"Urban numbers 1.0 data";"Population"
1975;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"3.33";"Urban numbers 1.0 data";"Population"
1970;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"3.71";"Urban numbers 1.0 data";"Population"
2025;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"2.03";"Urban numbers 1.0 data";"Population"
2000;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"1.46";"Urban numbers 1.0 data";"Population"
2020;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"1.97";"Urban numbers 1.0 data";"Population"
2005;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AF";;;"1.58";"Urban numbers 1.0 data";"Population"
1985;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"0.23";"Urban numbers 1.0 data";"Population"
1980;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"0.23";"Urban numbers 1.0 data";"Population"
1965;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"-1.59";"Urban numbers 1.0 data";"Population"
1960;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"-1.6";"Urban numbers 1.0 data";"Population"
2035;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"1.56";"Urban numbers 1.0 data";"Population"
2030;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"1.65";"Urban numbers 1.0 data";"Population"
2015;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;1;"Urban numbers 1.0 data";"Population"
2010;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"0.38";"Urban numbers 1.0 data";"Population"
1955;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"2.56";"Urban numbers 1.0 data";"Population"
1950;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"2.98";"Urban numbers 1.0 data";"Population"
1990;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"-0.84";"Urban numbers 1.0 data";"Population"
2045;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"1.37";"Urban numbers 1.0 data";"Population"
1995;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"-1.11";"Urban numbers 1.0 data";"Population"
2040;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"1.46";"Urban numbers 1.0 data";"Population"
1975;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"0.23";"Urban numbers 1.0 data";"Population"
1970;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"0.23";"Urban numbers 1.0 data";"Population"
2025;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"1.74";"Urban numbers 1.0 data";"Population"
2000;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"-0.89";"Urban numbers 1.0 data";"Population"
2020;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"1.58";"Urban numbers 1.0 data";"Population"
2005;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AG";;;"-0.26";"Urban numbers 1.0 data";"Population"
2000;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"1.42";"Urban numbers 1.0 data";"Population"
2005;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"1.36";"Urban numbers 1.0 data";"Population"
1985;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"0.75";"Urban numbers 1.0 data";"Population"
1980;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"0.77";"Urban numbers 1.0 data";"Population"
1965;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"0.32";"Urban numbers 1.0 data";"Population"
1960;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"0.34";"Urban numbers 1.0 data";"Population"
2035;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"0.9";"Urban numbers 1.0 data";"Population"
2030;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"0.98";"Urban numbers 1.0 data";"Population"
2015;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"1.21";"Urban numbers 1.0 data";"Population"
2010;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"1.29";"Urban numbers 1.0 data";"Population"
1955;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"2.67";"Urban numbers 1.0 data";"Population"
1950;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"5.38";"Urban numbers 1.0 data";"Population"
1990;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"1.32";"Urban numbers 1.0 data";"Population"
2045;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"0.76";"Urban numbers 1.0 data";"Population"
1995;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"1.4";"Urban numbers 1.0 data";"Population"
2040;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"0.83";"Urban numbers 1.0 data";"Population"
1975;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"0.63";"Urban numbers 1.0 data";"Population"
1970;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"0.6";"Urban numbers 1.0 data";"Population"
2025;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"1.06";"Urban numbers 1.0 data";"Population"
2020;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AL";;;"1.14";"Urban numbers 1.0 data";"Population"
2000;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"-0.32";"Urban numbers 1.0 data";"Population"
2005;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"-0.11";"Urban numbers 1.0 data";"Population"
1985;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"0.12";"Urban numbers 1.0 data";"Population"
1980;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"0.32";"Urban numbers 1.0 data";"Population"
1965;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"1.47";"Urban numbers 1.0 data";"Population"
1960;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"1.63";"Urban numbers 1.0 data";"Population"
2035;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"0.55";"Urban numbers 1.0 data";"Population"
2030;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"0.58";"Urban numbers 1.0 data";"Population"
2015;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"0.34";"Urban numbers 1.0 data";"Population"
2010;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"0.12";"Urban numbers 1.0 data";"Population"
1955;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"1.78";"Urban numbers 1.0 data";"Population"
1950;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"1.93";"Urban numbers 1.0 data";"Population"
1990;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"-0.35";"Urban numbers 1.0 data";"Population"
2045;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"0.47";"Urban numbers 1.0 data";"Population"
1995;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"-0.36";"Urban numbers 1.0 data";"Population"
2040;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"0.51";"Urban numbers 1.0 data";"Population"
1975;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"0.74";"Urban numbers 1.0 data";"Population"
1970;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"1.21";"Urban numbers 1.0 data";"Population"
2025;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"0.62";"Urban numbers 1.0 data";"Population"
2020;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AM";;;"0.54";"Urban numbers 1.0 data";"Population"
1985;;"avg_annual_rate_change_percentage_urban";"Average annual rate of change of population – Urban";"p";;;"AN";;;"0.49";"Urban numbers 1.0 data";"Population"
