"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Egypt";"Cairo";;14500000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Central African Rep.";"Bangui";;700000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Nigeria";"Lagos";;11223000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Kenya";"Nairobi";;3600000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Ghana";"Accra";;3600000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Tanzania";"Dar es Salaam";;3200000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Senegal";"Dakar";;2930000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Ethiopia";"Addis Abeba";;3125000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Morocco";"Casablanca";;3010000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Nigeria";"Abuja";;2153000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Burkina Faso";"Ouagadougou";;1910000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Rwanda";"Kigali";;940000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Japan";"Tokyo-Yokohama";;36900000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Indonesia";"Jakarta";;24750000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Philippines";"Manila";;19850000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"China";"Beijing, BJ";;16800000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"India";"Mumbai";;16600000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"India";"Kolkota, WB";;14113000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"India";"Chandigarh";;1026000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Thailand";"Bangkok";;13500000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Bangladesh";"Dhaka";;13600000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"China";"Hong Kong";;7050000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Malaysia";"Kuala Lumpur";;6100000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Singapore";"Singapore";;5150000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Armenia";"Yerevan";;1300000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"United States";"New York";;20366000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"United States";"Los Angeles";;14667000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"France";"Paris";;10355000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"United Kingdom";"London";;9400000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"United States";"Washington";;4587000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Spain";"Barcelona";;4500000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"United States";"Phoenix";;3879000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Greece";"Athens";;3500000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Belgium";"Brussels";;1900000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"New Zealand";"Auckland";;1250000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Denmark";"Copenhagen";;1180000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Finland";"Helsinki";;1120000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Netherlands";"Amsterdam";;1050000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Russia";"Moscow";;15500000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Russia";"St. Petersburg";;4840000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Mexico";"Guadalajara";;4440000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Colombia";"Medellin";;3595000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Brazil";"Sao Paulo";;19900000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Brazil";"Brasilia";;2300000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"base_year_population_estimate";"Urban agglomeration base year population estimate";"n";;;"Guyana";"Georgetown";;135000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
