"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1992;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Egypt";;;04/18/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1995;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Egypt";;;"15.8065792779";"Global_UNHABITAT-DHS";"Slum dwellers"
2000;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Egypt";;;"6.7697074984";"Global_UNHABITAT-DHS";"Slum dwellers"
2003;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Egypt";;;"19.4717586112";"Global_UNHABITAT-DHS";"Slum dwellers"
1992;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Morocco";;;08/08/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2004;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Morocco";;;08/17/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1996;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Benin";;;03/22/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2001;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Benin";;;12;"Global_UNHABITAT-DHS";"Slum dwellers"
2006;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Benin";;;04/07/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1992;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Burkina Faso";;;01/19/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1999;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Burkina Faso";;;04/19/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2003;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Burkina Faso";;;07/17/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1994;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Central African Republic";;;03/20/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2004;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Chad";;;09/24/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1996;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Comoros";;;03/31/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1994;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Côte d’Ivoire";;;02/23/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2000;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Côte d’Ivoire";;;07/19/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2000;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Ethiopia";;;"18.9657068553";"Global_UNHABITAT-DHS";"Slum dwellers"
2004;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Ethiopia";;;09/13/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2005;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Ethiopia";;;"12.2664144879";"Global_UNHABITAT-DHS";"Slum dwellers"
2000;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Gabon";;;02/16/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1993;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Ghana";;;09/18/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1999;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Ghana";;;"30.8171472729";"Global_UNHABITAT-DHS";"Slum dwellers"
2003;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Ghana";;;"12.6327478402";"Global_UNHABITAT-DHS";"Slum dwellers"
1999;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Guinea";;;02/18/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2005;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Guinea";;;11;"Global_UNHABITAT-DHS";"Slum dwellers"
1998;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Kenya";;;07/20/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2003;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Kenya";;;05/24/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2003;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Lesotho";;;"8.0939848068";"Global_UNHABITAT-DHS";"Slum dwellers"
1997;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Madagascar";;;"33.1";"Global_UNHABITAT-DHS";"Slum dwellers"
2003;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Madagascar";;;"8.0879114153";"Global_UNHABITAT-DHS";"Slum dwellers"
2004;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Madagascar";;;01/08/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1992;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Malawi";;;03/20/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2000;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Malawi";;;01/15/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2004;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Malawi";;;"18.9249827143";"Global_UNHABITAT-DHS";"Slum dwellers"
1996;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Mali";;;08/20/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2001;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Mali";;;09/14/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2006;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Mali";;;8;"Global_UNHABITAT-DHS";"Slum dwellers"
1997;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Mozambique";;;07/31/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2003;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Mozambique";;;08/13/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1992;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Niger";;;07/22/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1998;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Niger";;;"37.3";"Global_UNHABITAT-DHS";"Slum dwellers"
2006;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Niger";;;05/21/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1999;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Nigeria";;;08/14/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2003;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Nigeria";;;09/14/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1992;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Rwanda";;;09/22/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2000;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Rwanda";;;09/12/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2005;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Rwanda";;;02/14/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1993;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Senegal";;;01/13/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1997;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Senegal";;;04/13/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2005;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Senegal";;;03/20/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1998;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"South Africa";;;01/15/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1998;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Togo";;;"31.9";"Global_UNHABITAT-DHS";"Slum dwellers"
1995;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Uganda";;;01/22/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2001;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Uganda";;;"16.7578938884";"Global_UNHABITAT-DHS";"Slum dwellers"
2006;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Uganda";;;05/27/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1992;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Tanzania";;;05/15/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1996;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Tanzania";;;02/10/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1999;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Tanzania";;;07/09/14;"Global_UNHABITAT-DHS";"Slum dwellers"
2004;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Tanzania";;;08/11/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1992;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Zambia";;;02/26/14;"Global_UNHABITAT-DHS";"Slum dwellers"
1996;;"children_with_diarrhea_2_shelter_deprivation";"Proportion of children with diarrhea in last two weeks - 2 Shelter deprivation";"p";"2 Shelter deprivation";;"Zambia";;;07/27/14;"Global_UNHABITAT-DHS";"Slum dwellers"
