year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
1992;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Egypt;;;13.3;Global_UNHABITAT-DHS;Slum dwellers
1995;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Egypt;;;16;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Egypt;;;7.8;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Egypt;;;20.2;Global_UNHABITAT-DHS;Slum dwellers
1992;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Morocco;;;13.8;Global_UNHABITAT-DHS;Slum dwellers
2004;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Morocco;;;12.4;Global_UNHABITAT-DHS;Slum dwellers
1996;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Benin;;;27;Global_UNHABITAT-DHS;Slum dwellers
2001;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Benin;;;14.4;Global_UNHABITAT-DHS;Slum dwellers
2006;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Benin;;;9.7;Global_UNHABITAT-DHS;Slum dwellers
1992;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Burkina Faso;;;20.4;Global_UNHABITAT-DHS;Slum dwellers
1999;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Burkina Faso;;;20;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Burkina Faso;;;20.6;Global_UNHABITAT-DHS;Slum dwellers
1994;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Central African Republic;;;24.8;Global_UNHABITAT-DHS;Slum dwellers
2004;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Chad;;;26.9;Global_UNHABITAT-DHS;Slum dwellers
1996;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Comoros;;;21.7;Global_UNHABITAT-DHS;Slum dwellers
1994;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Côte d’Ivoire;;;20.2;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Côte d’Ivoire;;;24.5;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Ethiopia;;;24.5;Global_UNHABITAT-DHS;Slum dwellers
2004;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Ethiopia;;;18.5;Global_UNHABITAT-DHS;Slum dwellers
2005;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Ethiopia;;;18.5;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Gabon;;;14.3;Global_UNHABITAT-DHS;Slum dwellers
1993;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Ghana;;;21.2;Global_UNHABITAT-DHS;Slum dwellers
1999;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Ghana;;;18.3;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Ghana;;;16.1;Global_UNHABITAT-DHS;Slum dwellers
1999;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Guinea;;;22.4;Global_UNHABITAT-DHS;Slum dwellers
2005;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Guinea;;;16;Global_UNHABITAT-DHS;Slum dwellers
1993;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Kenya;;;14.1;Global_UNHABITAT-DHS;Slum dwellers
1998;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Kenya;;;17.1;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Kenya;;;15.8;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Lesotho;;;14.6713797575;Global_UNHABITAT-DHS;Slum dwellers
1997;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Madagascar;;;26.3;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Madagascar;;;10.0224690586;Global_UNHABITAT-DHS;Slum dwellers
2004;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Madagascar;;;10;Global_UNHABITAT-DHS;Slum dwellers
1992;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Malawi;;;22;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Malawi;;;18.1;Global_UNHABITAT-DHS;Slum dwellers
2004;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Malawi;;;23;Global_UNHABITAT-DHS;Slum dwellers
1996;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Mali;;;27.6;Global_UNHABITAT-DHS;Slum dwellers
2001;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Mali;;;20.2;Global_UNHABITAT-DHS;Slum dwellers
2006;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Mali;;;14.8;Global_UNHABITAT-DHS;Slum dwellers
1997;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Mozambique;;;18;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Mozambique;;;13.4;Global_UNHABITAT-DHS;Slum dwellers
1992;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Niger;;;29.3;Global_UNHABITAT-DHS;Slum dwellers
1998;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Niger;;;39;Global_UNHABITAT-DHS;Slum dwellers
2006;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Niger;;;21.5;Global_UNHABITAT-DHS;Slum dwellers
1999;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Nigeria;;;15.8;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Nigeria;;;20.7;Global_UNHABITAT-DHS;Slum dwellers
1992;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Rwanda;;;21.7;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Rwanda;;;17.7;Global_UNHABITAT-DHS;Slum dwellers
2005;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Rwanda;;;14.4;Global_UNHABITAT-DHS;Slum dwellers
1993;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Senegal;;;23.1;Global_UNHABITAT-DHS;Slum dwellers
1997;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Senegal;;;15.7;Global_UNHABITAT-DHS;Slum dwellers
2005;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Senegal;;;22.4;Global_UNHABITAT-DHS;Slum dwellers
1998;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;South Africa;;;15.7;Global_UNHABITAT-DHS;Slum dwellers
1998;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Togo;;;32.3;Global_UNHABITAT-DHS;Slum dwellers
1995;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Uganda;;;24;Global_UNHABITAT-DHS;Slum dwellers
2001;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Uganda;;;20.0884370046;Global_UNHABITAT-DHS;Slum dwellers
2006;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Uganda;;;26.5;Global_UNHABITAT-DHS;Slum dwellers
1992;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Tanzania;;;12.5;Global_UNHABITAT-DHS;Slum dwellers
1996;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Tanzania;;;14;Global_UNHABITAT-DHS;Slum dwellers
1999;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Tanzania;;;12.9;Global_UNHABITAT-DHS;Slum dwellers
2004;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Tanzania;;;13.2;Global_UNHABITAT-DHS;Slum dwellers
1992;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Zambia;;;25.1;Global_UNHABITAT-DHS;Slum dwellers
1996;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Zambia;;;23.3;Global_UNHABITAT-DHS;Slum dwellers
2002;;children_with_diarrhea_rural;Proportion of children with diarrhea in last two weeks – Rural;p;Rural;;Zambia;;;21.2;Global_UNHABITAT-DHS;Slum dwellers
