year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
1992;;children_with_diarrhea_slum;Proportion of children with diarrhea in last two weeks – Slum;p;Slum;;Egypt;;;15;Global_UNHABITAT-DHS;Slum dwellers
1995;;children_with_diarrhea_slum;Proportion of children with diarrhea in last two weeks – Slum;p;Slum;;Egypt;;;17.2224230815;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_slum;Proportion of children with diarrhea in last two weeks – Slum;p;Slum;;Egypt;;;7.1042265025;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_slum;Proportion of children with diarrhea in last two weeks – Slum;p;Slum;;Egypt;;;17.4411842654;Global_UNHABITAT-DHS;Slum dwellers
1992;;children_with_diarrhea_slum;Proportion of children with diarrhea in last two weeks – Slum;p;Slum;;Morocco;;;11.1;Global_UNHABITAT-DHS;Slum dwellers
2004;;children_with_diarrhea_slum;Proportion of children with diarrhea in last two weeks – Slum;p;Slum;;Morocco;;;12.6;Global_UNHABITAT-DHS;Slum dwellers
1996;;children_with_diarrhea_slum;Proportion of children with diarrhea in last two weeks – Slum;p;Slum;;Benin;;;26.1;Global_UNHABITAT-DHS;Slum dwellers
2001;;children_with_diarrhea_slum;Proportion of children with diarrhea in last two weeks – Slum;p;Slum;;Benin;;;12.5;Global_UNHABITAT-DHS;Slum dwellers
2006;;children_with_diarrhea_slum;Proportion of children with diarrhea in last two weeks – Slum;p;Slum;;Benin;;;7.9;Global_UNHABITAT-DHS;Slum dwellers
1992;;children_with_diarrhea_slum;Proportion of children with diarrhea in last two weeks – Slum;p;Slum;;Burkina Faso;;;19.2;Global_UNHABITAT-DHS;Slum dwellers
1999;;children_with_diarrhea_slum;Proportion of children with diarrhea in last two weeks – Slum;p;Slum;;Burkina Faso;;;19.5;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_slum;Proportion of children with diarrhea in last two weeks – Slum;p;Slum;;Burkina Faso;;;21.5;Global_UNHABITAT-DHS;Slum dwellers
1994;;children_with_diarrhea_slum;Proportion of children with diarrhea in last two weeks – Slum;p;Slum;;Central African Republic;;;20;Global_UNHABITAT-DHS;Slum dwellers
