year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
1992;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Egypt;;;13.3;Global_UNHABITAT-DHS;Slum dwellers
1995;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Egypt;;;15.9;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Egypt;;;7.1;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Egypt;;;18.9;Global_UNHABITAT-DHS;Slum dwellers
1992;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Morocco;;;12.6;Global_UNHABITAT-DHS;Slum dwellers
2004;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Morocco;;;12;Global_UNHABITAT-DHS;Slum dwellers
1996;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Benin;;;26.1;Global_UNHABITAT-DHS;Slum dwellers
2001;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Benin;;;13.4;Global_UNHABITAT-DHS;Slum dwellers
2006;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Benin;;;9;Global_UNHABITAT-DHS;Slum dwellers
1992;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Burkina Faso;;;20.1;Global_UNHABITAT-DHS;Slum dwellers
1999;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Burkina Faso;;;20;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Burkina Faso;;;20.7;Global_UNHABITAT-DHS;Slum dwellers
1994;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Central African Republic;;;22.6;Global_UNHABITAT-DHS;Slum dwellers
2004;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Chad;;;26.5;Global_UNHABITAT-DHS;Slum dwellers
1996;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Comoros;;;23.1;Global_UNHABITAT-DHS;Slum dwellers
1994;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Côte d’Ivoire;;;21.6;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Côte d’Ivoire;;;23.6;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Ethiopia;;;23.6;Global_UNHABITAT-DHS;Slum dwellers
2004;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Ethiopia;;;18;Global_UNHABITAT-DHS;Slum dwellers
2005;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Ethiopia;;;18;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Gabon;;;15.7;Global_UNHABITAT-DHS;Slum dwellers
1993;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Ghana;;;20;Global_UNHABITAT-DHS;Slum dwellers
1999;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Ghana;;;17.9;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_total;Proportion of children with diarrhea in last two weeks – Total;p;Total;;Ghana;;;15.2;Global_UNHABITAT-DHS;Slum dwellers
