year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
1992;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Egypt;;;13.3;Global_UNHABITAT-DHS;Slum dwellers
1995;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Egypt;;;15.7;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Egypt;;;6.1;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Egypt;;;16.8;Global_UNHABITAT-DHS;Slum dwellers
1992;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Morocco;;;10.4;Global_UNHABITAT-DHS;Slum dwellers
2004;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Morocco;;;11.5;Global_UNHABITAT-DHS;Slum dwellers
1996;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Benin;;;24.2;Global_UNHABITAT-DHS;Slum dwellers
2001;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Benin;;;11.3;Global_UNHABITAT-DHS;Slum dwellers
2006;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Benin;;;7.8;Global_UNHABITAT-DHS;Slum dwellers
1992;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Burkina Faso;;;18.5;Global_UNHABITAT-DHS;Slum dwellers
1999;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Burkina Faso;;;19.2;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Burkina Faso;;;21.1;Global_UNHABITAT-DHS;Slum dwellers
1994;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Central African Republic;;;19.5;Global_UNHABITAT-DHS;Slum dwellers
2004;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Chad;;;24.8;Global_UNHABITAT-DHS;Slum dwellers
1996;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Comoros;;;27.5;Global_UNHABITAT-DHS;Slum dwellers
1994;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Côte d’Ivoire;;;24.5;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Côte d’Ivoire;;;16.7;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Ethiopia;;;16.7;Global_UNHABITAT-DHS;Slum dwellers
2004;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Ethiopia;;;12.1;Global_UNHABITAT-DHS;Slum dwellers
2005;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Ethiopia;;;12.1;Global_UNHABITAT-DHS;Slum dwellers
2000;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Gabon;;;16.3;Global_UNHABITAT-DHS;Slum dwellers
1993;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Ghana;;;17.2;Global_UNHABITAT-DHS;Slum dwellers
1999;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Ghana;;;16.7;Global_UNHABITAT-DHS;Slum dwellers
2003;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Ghana;;;13.6;Global_UNHABITAT-DHS;Slum dwellers
1999;;children_with_diarrhea_urban;Proportion of children with diarrhea in last two weeks – Urban;p;Urban;;Guinea;;;17.8;Global_UNHABITAT-DHS;Slum dwellers
