"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2012;;"land_area";"Land area (km²)";"n";;;;"Benguet";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Baguio City";;57.5;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Kalinga";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Tabuk City";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;;;57.5;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;;;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Ilocos Norte";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Laoag City";;127.5;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Batac City";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Ilocos Sur";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Candon City";;103.3;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Vigan City";;11;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"La Union";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"San Fernando City";;109.1;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Pangasinan";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Alaminos City";;137;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Dagupan City";;37.2;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"San Carlos City";;169;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Urdaneta City";;121;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;;;815.1;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;;;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Cagayan";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Tuguegarao City";;114;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Isabela";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Cauayan City";;336.4;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;"Santiago City";;255;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;;;705.4;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"land_area";"Land area (km²)";"n";;;;;;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
