"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2013;;"cpi_composite_street_connectivity_index";"Composite Street Connectivity Index";"index";;;"United Kingdom";"London";;0.998;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
2013;;"cpi_composite_street_connectivity_index";"Composite Street Connectivity Index";"index";;;"Japan";"Tokyo ";;0.986;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
2013;;"cpi_composite_street_connectivity_index";"Composite Street Connectivity Index";"index";;;"Finland";"Helsinki ";;0.857;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
2013;;"cpi_composite_street_connectivity_index";"Composite Street Connectivity Index";"index";;;"Netherlands";"Amsterdam ";;0.99;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
2013;;"cpi_composite_street_connectivity_index";"Composite Street Connectivity Index";"index";;;"France";"Paris ";;0.972;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
2013;;"cpi_composite_street_connectivity_index";"Composite Street Connectivity Index";"index";;;"Canada";"Toronto";;0.983;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
2013;;"cpi_composite_street_connectivity_index";"Composite Street Connectivity Index";"index";;;"Spain";"Barcelona ";;0.923;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
2013;;"cpi_composite_street_connectivity_index";"Composite Street Connectivity Index";"index";;;"Greece";"Athens ";;0.97;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
2013;;"cpi_composite_street_connectivity_index";"Composite Street Connectivity Index";"index";;;"Denmark";"Copenhagen ";;0.708;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
2013;;"cpi_composite_street_connectivity_index";"Composite Street Connectivity Index";"index";;;"Belgium";"Brussels ";;0.749;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
2013;;"cpi_composite_street_connectivity_index";"Composite Street Connectivity Index";"index";;;"United States of America";"New York";;0.953;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
2013;;"cpi_composite_street_connectivity_index";"Composite Street Connectivity Index";"index";;;"Mexico";"Mexico City";;0.76;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
2013;;"cpi_composite_street_connectivity_index";"Composite Street Connectivity Index";"index";;;"Newzealand";"Auckland ";;0.463;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
