"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Australia";"Melbourne";;0.413;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Australia";"Sydney";;0.394;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Belgium";"Brussels ";;0.407;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Canada";"Calgary";;0.239;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Canada";"Montreal";;0.505;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Canada";"Toronto";;0.521;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Denmark";"Copenhagen ";;0.223;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Finland";"Helsinki ";;0.447;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"France";"Paris ";;0.414;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Greece";"Athens ";;0.448;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Netherlands";"Amsterdam ";;0.393;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Newzealand";"Auckland ";;0.245;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Russia";"Moscow";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Russia";"Saint Petersburg ";;0.228;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Spain";"Barcelona ";;0.343;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"United Kingdom";"London";;0.498;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"United States of America";"Los Angeles";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"United States of America";"New York ";;0.386;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"United States of America";"Phoenix";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"United States of America";"Washington, D.C.";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Armenia";"Yerevan ";;0.021;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Bangladesh";"Dhaka";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Bolivia";"La Paz";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Brazil";"Brasilia ";;0.211;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Brazil";"Sao Paulo";;0.25;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Burkina Faso";"Ouagadougou ";;0.224;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Central African Republic";"Bangui ";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"China";"Beijing ";;0.114;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"China, Hong Kong SAR";"Hong Kong ";;0.302;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Colombia";"Bogota";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Colombia";"Medellin ";;0.262;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Egypt";"Alexandria";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Egypt";"Cairo";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Ethiopia";"Addis Ababa ";;0.195;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Ghana";"Accra ";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Guatemala";"Guatemala City";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Guyana";"Georgetown ";;0.189;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"India";"Chandigarh ";;0.26;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"India";"Kolkota ";;0.414;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"India";"Mumbai";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Indonesia";"Jakarta";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Japan";"Tokyo ";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Kenya";"Nairobi ";;0.063;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Malaysia";"Kuala Lumpurﾠ";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Mexico";"Guadalajara ";;0.428;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Mexico";"Mexico City";;0.338;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Morocco";"Casablanca";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Nigeria";"Abuja ";;0.126;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Nigeria";"Lagos";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Philippines";"Manila";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Rwanda";"Kigali ";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Senegal";"Dakar ";;0.085;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Singapore";"Singapore ";;0.237;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"South Africa";"Cape Town";;0.459;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"South Africa";"Johannesburg";;0.24;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Thailand";"Bangkok ";;0.143;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"United Republic of Tanzania";"Dar es Salaam";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"United Republic of Tanzania";"Dodoma";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Zambia";;;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"composite_street_connectivity_index_sub_urban_area";"Composite Street Connectivity Index – suburban area";"index";"sub_urban_area";;"Zimbabwe";"Harare";;;"Table 2: Composite Street Connectivity Index ";"Streets"
