"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2005;;"composting_toilet";"Access to composting toilet";"p";;;"ET";;;"2.6";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"composting_toilet";"Access to composting toilet";"p";;;"GY";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"composting_toilet";"Access to composting toilet";"p";;;"HT";;;"0.2";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"composting_toilet";"Access to composting toilet";"p";;;"IN";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"composting_toilet";"Access to composting toilet";"p";;;"KH";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"composting_toilet";"Access to composting toilet";"p";;;"LR";;;"0.7";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"composting_toilet";"Access to composting toilet";"p";;;"MD";;;"0.8";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"composting_toilet";"Access to composting toilet";"p";;;"NA";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"composting_toilet";"Access to composting toilet";"p";;;"UA";;;"0.5";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"composting_toilet";"Access to composting toilet";"p";;;"ZM";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
