year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2000;;connection_to_electricity;Connection to electricity;p;;;AL;;;0;;
2005;;connection_to_electricity;Connection to electricity;p;;;AL;;;0;;
2000;;connection_to_electricity;Connection to electricity;p;;;AM;;;99.1;;
2005;;connection_to_electricity;Connection to electricity;p;;;AM;;;99.9;;
2006;;connection_to_electricity;Connection to electricity;p;;;AO;;;66.1;;
2006;;connection_to_electricity;Connection to electricity;p;;;AZ;;;99.8;;
2000;;connection_to_electricity;Connection to electricity;p;;;AZ;;;0;;
2006;;connection_to_electricity;Connection to electricity;p;;;BA;;;0;;
1994;;connection_to_electricity;Connection to electricity;p;;;BD;;;75.2;;
1996;;connection_to_electricity;Connection to electricity;p;;;BD;;;79.5;;
1999;;connection_to_electricity;Connection to electricity;p;;;BD;;;81.2;;
2004;;connection_to_electricity;Connection to electricity;p;;;BD;;;76.6;;
2006;;connection_to_electricity;Connection to electricity;p;;;BD;;;0;;
1992;;connection_to_electricity;Connection to electricity;p;;;BF;;;29.4;;
1999;;connection_to_electricity;Connection to electricity;p;;;BF;;;39.7;;
2003;;connection_to_electricity;Connection to electricity;p;;;BF;;;52.4;;
2005;;connection_to_electricity;Connection to electricity;p;;;BI;;;0;;
1996;;connection_to_electricity;Connection to electricity;p;;;BJ;;;34.4;;
2001;;connection_to_electricity;Connection to electricity;p;;;BJ;;;49.6;;
2006;;connection_to_electricity;Connection to electricity;p;;;BJ;;;56.6;;
1994;;connection_to_electricity;Connection to electricity;p;;;BO;;;93;;
1998;;connection_to_electricity;Connection to electricity;p;;;BO;;;96.1;;
2004;;connection_to_electricity;Connection to electricity;p;;;BO;;;94;;
1991;;connection_to_electricity;Connection to electricity;p;;;BR;;;94.5;;
1996;;connection_to_electricity;Connection to electricity;p;;;BR;;;98.8;;
2005;;connection_to_electricity;Connection to electricity;p;;;BY;;;0;;
2006;;connection_to_electricity;Connection to electricity;p;;;BZ;;;0;;
2005;;connection_to_electricity;Connection to electricity;p;;;CI;;;86.4;;
1994;;connection_to_electricity;Connection to electricity;p;;;CI;;;69.7;;
1998;;connection_to_electricity;Connection to electricity;p;;;CI;;;85.9;;
2006;;connection_to_electricity;Connection to electricity;p;;;CI;;;0;;
2006;;connection_to_electricity;Connection to electricity;p;;;CM;;;0;;
1991;;connection_to_electricity;Connection to electricity;p;;;CM;;;63;;
1998;;connection_to_electricity;Connection to electricity;p;;;CM;;;79;;
2004;;connection_to_electricity;Connection to electricity;p;;;CM;;;77.1;;
2000;;connection_to_electricity;Connection to electricity;p;;;CO;;;99.4;;
1995;;connection_to_electricity;Connection to electricity;p;;;CO;;;99.2;;
1990;;connection_to_electricity;Connection to electricity;p;;;CO;;;97.9;;
2005;;connection_to_electricity;Connection to electricity;p;;;CO;;;99.3;;
2005;;connection_to_electricity;Connection to electricity;p;;;EG;;;99.8;;
2000;;connection_to_electricity;Connection to electricity;p;;;EG;;;99.5;;
1995;;connection_to_electricity;Connection to electricity;p;;;EG;;;99;;
1992;;connection_to_electricity;Connection to electricity;p;;;EG;;;98.4;;
2003;;connection_to_electricity;Connection to electricity;p;;;EG;;;99.7;;
2005;;connection_to_electricity;Connection to electricity;p;;;ET;;;85.7;;
2000;;connection_to_electricity;Connection to electricity;p;;;ET;;;76.2;;
2000;;connection_to_electricity;Connection to electricity;p;;;GA;;;90.2;;
2005;;connection_to_electricity;Connection to electricity;p;;;GE;;;0;;
2006;;connection_to_electricity;Connection to electricity;p;;;GH;;;0;;
1993;;connection_to_electricity;Connection to electricity;p;;;GH;;;74.6;;
1998;;connection_to_electricity;Connection to electricity;p;;;GH;;;82.4;;
2003;;connection_to_electricity;Connection to electricity;p;;;GH;;;76.9;;
2005;;connection_to_electricity;Connection to electricity;p;;;GM;;;0;;
2005;;connection_to_electricity;Connection to electricity;p;;;GN;;;63.8;;
1999;;connection_to_electricity;Connection to electricity;p;;;GN;;;53.8;;
1995;;connection_to_electricity;Connection to electricity;p;;;GT;;;88.9;;
1998;;connection_to_electricity;Connection to electricity;p;;;GT;;;91.3;;
2005;;connection_to_electricity;Connection to electricity;p;;;GY;;;81.6;;
2006;;connection_to_electricity;Connection to electricity;p;;;GY;;;0;;
2000;;connection_to_electricity;Connection to electricity;p;;;HT;;;81.9;;
1994;;connection_to_electricity;Connection to electricity;p;;;HT;;;76.5;;
2006;;connection_to_electricity;Connection to electricity;p;;;HT;;;0;;
2007;;connection_to_electricity;Connection to electricity;p;;;ID;;;98.2;;
1991;;connection_to_electricity;Connection to electricity;p;;;ID;;;87.6;;
1994;;connection_to_electricity;Connection to electricity;p;;;ID;;;94.6;;
1997;;connection_to_electricity;Connection to electricity;p;;;ID;;;97.5;;
2002;;connection_to_electricity;Connection to electricity;p;;;ID;;;98.1;;
1992;;connection_to_electricity;Connection to electricity;p;;;IN;;;82.8;;
1998;;connection_to_electricity;Connection to electricity;p;;;IN;;;91.3;;
2006;;connection_to_electricity;Connection to electricity;p;;;IN;;;93.1;;
2006;;connection_to_electricity;Connection to electricity;p;;;IQ;;;0;;
2005;;connection_to_electricity;Connection to electricity;p;;;JM;;;0;;
2007;;connection_to_electricity;Connection to electricity;p;;;JO;;;99;;
1997;;connection_to_electricity;Connection to electricity;p;;;JO;;;99.8;;
2002;;connection_to_electricity;Connection to electricity;p;;;JO;;;99.7;;
1993;;connection_to_electricity;Connection to electricity;p;;;KE;;;42.5;;
1998;;connection_to_electricity;Connection to electricity;p;;;KE;;;47.5;;
2003;;connection_to_electricity;Connection to electricity;p;;;KE;;;50.2;;
2005;;connection_to_electricity;Connection to electricity;p;;;KH;;;66.8;;
2000;;connection_to_electricity;Connection to electricity;p;;;KH;;;60.6;;
1996;;connection_to_electricity;Connection to electricity;p;;;KM;;;51.8;;
1995;;connection_to_electricity;Connection to electricity;p;;;KZ;;;99.9;;
1999;;connection_to_electricity;Connection to electricity;p;;;KZ;;;99.4;;
2006;;connection_to_electricity;Connection to electricity;p;;;KZ;;;0;;
2007;;connection_to_electricity;Connection to electricity;p;;;LR;;;6.9;;
2004;;connection_to_electricity;Connection to electricity;p;;;LS;;;26.2;;
1992;;connection_to_electricity;Connection to electricity;p;;;MA;;;84.7;;
2004;;connection_to_electricity;Connection to electricity;p;;;MA;;;94.6;;
2005;;connection_to_electricity;Connection to electricity;p;;;MD;;;99.4;;
2005;;connection_to_electricity;Connection to electricity;p;;;ME;;;0;;
1997;;connection_to_electricity;Connection to electricity;p;;;MG;;;38.1;;
2003;;connection_to_electricity;Connection to electricity;p;;;MG;;;52.7;;
2005;;connection_to_electricity;Connection to electricity;p;;;MK;;;0;;
1996;;connection_to_electricity;Connection to electricity;p;;;ML;;;21.5;;
2001;;connection_to_electricity;Connection to electricity;p;;;ML;;;37;;
2006;;connection_to_electricity;Connection to electricity;p;;;ML;;;47.4;;
2005;;connection_to_electricity;Connection to electricity;p;;;MN;;;0;;
2007;;connection_to_electricity;Connection to electricity;p;;;MR;;;0;;
2001;;connection_to_electricity;Connection to electricity;p;;;MR;;;49.7;;
2000;;connection_to_electricity;Connection to electricity;p;;;MW;;;28.7;;
2006;;connection_to_electricity;Connection to electricity;p;;;MW;;;0;;
1992;;connection_to_electricity;Connection to electricity;p;;;MW;;;19.8;;
2004;;connection_to_electricity;Connection to electricity;p;;;MW;;;30.2;;
1997;;connection_to_electricity;Connection to electricity;p;;;MZ;;;25.8;;
2003;;connection_to_electricity;Connection to electricity;p;;;MZ;;;25;;
2007;;connection_to_electricity;Connection to electricity;p;;;NA;;;77.6;;
2000;;connection_to_electricity;Connection to electricity;p;;;NA;;;73.2;;
1992;;connection_to_electricity;Connection to electricity;p;;;NA;;;66;;
1992;;connection_to_electricity;Connection to electricity;p;;;NE;;;26.7;;
1998;;connection_to_electricity;Connection to electricity;p;;;NE;;;36.5;;
2006;;connection_to_electricity;Connection to electricity;p;;;NE;;;47.2;;
