"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"United Kingdom";"London";;0.919;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Japan";"Tokyo ";;0.918;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Finland";"Helsinki ";;0.913;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Netherlands";"Amsterdam ";;"0.91";"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"France";"Paris ";;0.909;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Canada";"Toronto";;0.905;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Spain";"Barcelona ";;0.884;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Greece";"Athens ";;0.879;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Denmark";"Copenhagen ";;0.875;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Belgium";"Brussels ";;0.859;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"United States of America";"New York";;0.845;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Mexico";"Mexico City";;0.788;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Newzealand";"Auckland ";;0.777;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"China";"Beijing ";;"0.76";"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Russia";"Moscow";;0.722;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Brazil";"Sao Paulo";;0.721;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Egypt";"Cairo";;0.707;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Thailand";"Bangkok ";;0.682;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Colombia";"Medellin ";;0.669;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"Morocco";"Casablanca";;0.631;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
"2013";;"cpi_6_dimensions";"City Prosperity Index with 6 dimensions";"index";;;"South Africa";"Cape Town";;0.625;"Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)";"City prosperity"
