"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"CN";"Beijing";;663;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"CA";"Toronto";;963;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"BO";"La Paz";;606;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"BD";"Dhaka";;627;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"AU";"Melbourne";;967;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"CN";"Shanghai";;"0.95";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"CI";"Abidjan";;842;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"ET";"Addis Ababa";;724;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"FR";"Paris";;895;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"GH";"Accra";;728;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"GN";"Conakry";;809;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"HU";"Budapest";;921;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"ID";"Jakarta";;881;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"IE";"Dublin";;958;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"JP";"Tokyo";;936;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"JO";"Amman";;824;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"KZ";"Almaty";;897;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"KE";"Nairobi";;889;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"LR";"Monrovia";;886;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_environment_index";"Environmental Sustainability index";"p";;;"MG";"Antananarivo";;812;"Urban numbers 1.0 data";"City prosperity"
