"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2012;;"cpi_equity_index";"Equity Index";"p";;;"CN";"Beijing";;967;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"CA";"Toronto";;733;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"BO";"La Paz";;502;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"BD";"Dhaka";;817;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"AU";"Melbourne";;"0.82";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"CN";"Shanghai";;"0.8";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"CI";"Abidjan";;"0.5";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"ET";"Addis Ababa";;313;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"FR";"Paris";;788;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"GH";"Accra";;"0.5";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"GN";"Conakry";;612;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"HU";"Budapest";;833;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"ID";"Jakarta";;885;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"IE";"Dublin";;"0.85";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"JP";"Tokyo";;828;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"JO";"Amman";;"0.68";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"KZ";"Almaty";;818;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"KE";"Nairobi";;357;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"LR";"Monrovia";;457;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"MG";"Antananarivo";;552;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"ML";"Bamako";;683;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"MN";"Ulaanbaatar";;722;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"CM";"Yaounde";;"0.6";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"EG";"Cairo";;692;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"MA";"Casablanca";;472;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"NE";"Niamey";;602;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"SN";"Dakar";;712;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"TZ";"Dar es Salaam";;767;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"UG";"Kampala";;"0.55";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"ZM";"Lusaka";;233;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"ZW";"Harare";;338;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"BR";"Sao Paulo";;507;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"GT";"Guatemala city";;502;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"KH";"Phnom penh";;722;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"IN";"Mumbai";;715;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"IN";"New Delhi";;712;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"MD";"Chisinau";;717;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"UA";"Kyiv";;873;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"VN";"Ha Noi";;683;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"NL";"Amsterdam";;818;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"NZ";"Auckland";;657;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"NG";"Lagos";;262;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"PH";"Manila";;669;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"ZA";"Cape Town";;217;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"ZA";"Johannesburg";;83;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"ES";"Barcelona";;755;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"TR";"Ankara";;683;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"GB";"London";;793;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"BE";"Brussels";;783;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"CZ";"Prague";;827;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"DK";"Copenhagen";;922;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"GR";"Athens";;762;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"HN";"Tegucigalpa";;"0.51";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"IT";"Milan";;733;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"MX";"Mexico City";;405;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"NP";"Kathmandu";;617;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"PL";"Warsaw";;817;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"KR";"Seoul";;807;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"RO";"Bucharest";;"0.9";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"RU";"Moscow";;"0.55";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"CH";"Zurich";;772;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"TH";"Bangkok";;533;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_equity_index";"Equity Index";"p";;;"US";"New York";;502;"Urban numbers 1.0 data";"City prosperity"
