"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"CN";"Beijing";;911;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"CA";"Toronto";;997;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"BO";"La Paz";;745;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"BD";"Dhaka";;673;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"AU";"Melbourne";;996;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"CN";"Shanghai";;"0.9";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"CI";"Abidjan";;767;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"ET";"Addis Ababa";;521;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"FR";"Paris";;996;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"GH";"Accra";;737;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"GN";"Conakry";;607;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"HU";"Budapest";;"0.99";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"ID";"Jakarta";;741;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"IE";"Dublin";;996;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"JP";"Tokyo";;989;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"JO";"Amman";;887;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"KZ";"Almaty";;872;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"KE";"Nairobi";;"0.86";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_infrastructure_index";"Infrastructure Development index";"p";;;"LR";"Monrovia";;411;"Urban numbers 1.0 data";"City prosperity"
