"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"CN";"Beijing";;836;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"CA";"Toronto";;907;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"BO";"La Paz";;621;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"BD";"Dhaka";;539;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"AU";"Melbourne";;875;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"CN";"Shanghai";;836;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"CI";"Abidjan";;"0.44";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"ET";"Addis Ababa";;534;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"FR";"Paris";;925;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"GH";"Accra";;592;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"GN";"Conakry";;461;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"HU";"Budapest";;867;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"ID";"Jakarta";;733;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"IE";"Dublin";;867;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"JP";"Tokyo";;931;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"JO";"Amman";;"0.79";"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"KZ";"Almaty";;822;"Urban numbers 1.0 data";"City prosperity"
2012;;"cpi_quality_of_live_index";"Quality of life index";"p";;;"KE";"Nairobi";;559;"Urban numbers 1.0 data";"City prosperity"
