"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2006;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Benin";;;"88.2";"Multiple sources";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Burkina Faso";;;77;"Multiple sources";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Cameroon";;;"64.4";"Multiple sources";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Congo";;;"75.8";"Multiple sources";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Egypt";;;"0.5";"Multiple sources";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Ethiopia";;;"61.3";"Multiple sources";"Slum dwellers"
2000;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Gabon";;;06/11/14;"Multiple sources";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Ghana";;;"85.6";"Multiple sources";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Guinea";;;"95.4";"Multiple sources";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Kenya";;;"38.3";"Multiple sources";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Lesotho";;;02/10/14;"Multiple sources";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Madagascar";;;97;"Multiple sources";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Malawi";;;"95.3";"Multiple sources";"Slum dwellers"
2001;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Mali";;;"96.1";"Multiple sources";"Slum dwellers"
2001;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Mauritania";;;"45.8";"Multiple sources";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Morocco";;;"0.5";"Multiple sources";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Mozambique";;;"90.3";"Multiple sources";"Slum dwellers"
2000;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Namibia";;;02/21/14;"Multiple sources";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Niger";;;"97.1";"Multiple sources";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Nigeria";;;"40.4";"Multiple sources";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Rwanda";;;98;"Multiple sources";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Senegal";;;"35.8";"Multiple sources";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Sierra Leone";;;"98.2";"Multiple sources";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Somalia";;;"99.2";"Multiple sources";"Slum dwellers"
1998;;"distribution_of_solid_cooking_fuel_1_shelter_deprivation";"Percent distribution of solid cooking fuel – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"South Africa";;;02/16/14;"Multiple sources";"Slum dwellers"
