"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2006;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Benin";;;"98.1";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Burkina Faso";;;"94.7";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Cameroon";;;87;"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Congo";;;"88.3";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Egypt";;;"0.7";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Ethiopia";;;87;"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2000;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Gabon";;;"50.4";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Ghana";;;"97.2";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Guinea";;;"96.4";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Kenya";;;"60.6";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Lesotho";;;32;"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Madagascar";;;"99.5";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Malawi";;;"99.2";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2001;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Mali";;;"96.8";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2001;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Mauritania";;;72;"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Morocco";;;"6.6";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Mozambique";;;"98.4";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2000;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Namibia";;;"52.6";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Niger";;;"99.2";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_2_plus_shelter_deprivation";"Percent distribution of solid cooking fuel – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Nigeria";;;"66.5";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
