"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2006;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Benin";;;"75.1";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Burkina Faso";;;"67.9";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Cameroon";;;"41.9";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Congo";;;"66.4";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Egypt";;;"0.1";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Ethiopia";;;"44.1";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2000;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Gabon";;;"4.1";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Ghana";;;"76.1";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Guinea";;;"94.2";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Kenya";;;"20.2";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Lesotho";;;"3.4";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Madagascar";;;90;"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Malawi";;;"72.5";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2001;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Mali";;;"94.3";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2001;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Mauritania";;;"32.4";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Morocco";;;"0.2";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Mozambique";;;"76.6";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2000;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Namibia";;;"5.8";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Niger";;;"90.6";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Nigeria";;;"21.7";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Rwanda";;;"93.9";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Senegal";;;12;"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Sierra Leone";;;"98.6";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Somalia";;;"98.4";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
1998;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"South Africa";;;"9.2";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_non_slum";"Percent distribution of solid cooking fuel – Non slum";"p";"Non-slum";;"Swaziland";;;"10.6";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
