"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2006;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Benin";;;"92.7";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Burkina Faso";;;"78.9";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Cameroon";;;"72.8";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Congo";;;"81.7";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Egypt";;;"0.5";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Ethiopia";;;"77.5";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2000;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Gabon";;;"23.5";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Ghana";;;"87.9";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Guinea";;;"95.7";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Kenya";;;"47.9";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Lesotho";;;"14.2";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Madagascar";;;"98.3";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Malawi";;;"97.1";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2001;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Mali";;;"96.4";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2001;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Mauritania";;;"57.4";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Morocco";;;1;"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Mozambique";;;"95.1";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2000;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Namibia";;;"33.4";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Niger";;;"98.3";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Nigeria";;;"52.4";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Rwanda";;;"98.5";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Senegal";;;"45.9";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Sierra Leone";;;"99.2";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Somalia";;;"99.7";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
1998;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"South Africa";;;"17.4";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Swaziland";;;"18.1";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Tanzania";;;"90.1";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2001;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Uganda";;;"85.4";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2002;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Zambia";;;"86.4";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_slum";"Percent distribution of solid cooking fuel – Slum";"p";"Slum";;"Zimbabwe";;;"21.7";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITAT_MICS";"Slum dwellers"
