"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2006;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Benin";;;86.5;"Multiple sources";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Burkina Faso";;;76.6;"Multiple sources";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Cameroon";;;56.7;"Multiple sources";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Congo";;;69.9;"Multiple sources";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Egypt";;;0.2;"Multiple sources";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Ethiopia";;;68.9;"Multiple sources";"Slum dwellers"
2000;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Gabon";;;14.1;"Multiple sources";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Ghana";;;80.5;"Multiple sources";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Guinea";;;94.7;"Multiple sources";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Kenya";;;35.5;"Multiple sources";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Lesotho";;;7.2;"Multiple sources";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Madagascar";;;95.8;"Multiple sources";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Malawi";;;88.8;"Multiple sources";"Slum dwellers"
2001;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Mali";;;95.7;"Multiple sources";"Slum dwellers"
2001;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Mauritania";;;48.7;"Multiple sources";"Slum dwellers"
2004;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Morocco";;;0.4;"Multiple sources";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Mozambique";;;91.3;"Multiple sources";"Slum dwellers"
2000;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Namibia";;;15.1;"Multiple sources";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Niger";;;95.9;"Multiple sources";"Slum dwellers"
2003;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Nigeria";;;42.1;"Multiple sources";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Rwanda";;;96.9;"Multiple sources";"Slum dwellers"
2005;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Senegal";;;20.6;"Multiple sources";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Sierra Leone";;;97.7;"Multiple sources";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Somalia";;;99.3;"Multiple sources";"Slum dwellers"
1998;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"South Africa";;;11.6;"Multiple sources";"Slum dwellers"
2006;;"distribution_of_solid_cooking_fuel_urban";"Percent distribution of solid cooking fuel – Urban";"p";"Urban";;"Swaziland";;;13.2;"Multiple sources";"Slum dwellers"
