"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1990;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA025";"Constantine";;98;"UNHABITAT_DHS";"Population"
1990;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA009";"Blida";;98;"UNHABITAT_DHS";"Population"
1990;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA019";"Setif";;98;"UNHABITAT_DHS";"Population"
1990;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA012";"Tebessa";;98;"UNHABITAT_DHS";"Population"
1993;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA031";"Oran";;98;"UNHABITAT_DHS";"Population"
1993;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA025";"Constantine";;98;"UNHABITAT_DHS";"Population"
1993;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA009";"Blida";;98;"UNHABITAT_DHS";"Population"
1993;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA019";"Setif";;98;"UNHABITAT_DHS";"Population"
1993;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA012";"Tebessa";;98;"UNHABITAT_DHS";"Population"
1998;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA031";"Oran";;98;"UNHABITAT_DHS";"Population"
1998;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA025";"Constantine";;98;"UNHABITAT_DHS";"Population"
1998;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA009";"Blida";;98;"UNHABITAT_DHS";"Population"
1998;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA019";"Setif";;98;"UNHABITAT_DHS";"Population"
1998;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA012";"Tebessa";;98;"UNHABITAT_DHS";"Population"
2000;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA031";"Oran";;98;"UNHABITAT_DHS";"Population"
2000;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA025";"Constantine";;98;"UNHABITAT_DHS";"Population"
2000;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA009";"Blida";;98;"UNHABITAT_DHS";"Population"
2000;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA019";"Setif";;98;"UNHABITAT_DHS";"Population"
2000;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA012";"Tebessa";;98;"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA031";"Oran";;98;"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA025";"Constantine";;98;"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA009";"Blida";;98;"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA019";"Setif";;92;"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRDZA012";"Tebessa";;92;"UNHABITAT_DHS";"Population"
2000;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRAGO004";"Luanda";;"67.6";"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"AFRAGO004";"Luanda";;"51.9";"UNHABITAT_DHS";"Population"
2000;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"ASIARM018";"Yerevan";;"98.9";"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"ASIARM018";"Yerevan";;"99.4";"UNHABITAT_DHS";"Population"
2005;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"ASIARM018";"Yerevan";;"99.4";"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_cities";"Proportion of urban population with durable housing – Cities";"p";"Total";;"ASIAZE011";"Baku";;"91.6";"UNHABITAT_DHS";"Population"
