"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1996;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Benin";;;79.6;"UNHABITAT_DHS";"Population"
2001;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Benin";;;80.9;"UNHABITAT_DHS";"Population"
2006;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Benin";;;81;"UNHABITAT_DHS";"Population"
1992;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Burkina Faso";;;85.9;"UNHABITAT_DHS";"Population"
1999;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Burkina Faso";;;92.4;"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Burkina Faso";;;93.7;"UNHABITAT_DHS";"Population"
1991;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Cameroon";;;75.1;"UNHABITAT_DHS";"Population"
1998;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Cameroon";;;80.8;"UNHABITAT_DHS";"Population"
2004;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Cameroon";;;77.7;"UNHABITAT_DHS";"Population"
1994;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Central African Republic";;;26.8;"UNHABITAT_DHS";"Population"
1997;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Chad";;;14.6;"UNHABITAT_DHS";"Population"
2004;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Chad";;;18.7;"UNHABITAT_DHS";"Population"
1996;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Comoros";;;65.8;"UNHABITAT_DHS";"Population"
1994;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Côte d’Ivoire";;;98.3;"UNHABITAT_DHS";"Population"
1998;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Côte d’Ivoire";;;98.7;"UNHABITAT_DHS";"Population"
2005;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Côte d’Ivoire";;;96.6;"UNHABITAT_DHS";"Population"
1992;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Egypt";;;94.3;"UNHABITAT_DHS";"Population"
1995;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Egypt";;;94.1;"UNHABITAT_DHS";"Population"
2000;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Egypt";;;96;"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Egypt";;;97.1;"UNHABITAT_DHS";"Population"
2005;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Egypt";;;98.3;"UNHABITAT_DHS";"Population"
2000;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Ethiopia";;;32.1;"UNHABITAT_DHS";"Population"
2005;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Ethiopia";;;51.3;"UNHABITAT_DHS";"Population"
2000;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Gabon";;;90.5;"UNHABITAT_DHS";"Population"
1993;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Ghana";;;98.6;"UNHABITAT_DHS";"Population"
1998;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Ghana";;;98.7;"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Ghana";;;96.4;"UNHABITAT_DHS";"Population"
1999;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Guinea";;;91.1;"UNHABITAT_DHS";"Population"
2005;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Guinea";;;90.7;"UNHABITAT_DHS";"Population"
1993;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Kenya";;;79.1;"UNHABITAT_DHS";"Population"
1998;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Kenya";;;79.3;"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Kenya";;;80.3;"UNHABITAT_DHS";"Population"
1997;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Madagascar";;;42.3;"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Madagascar";;;59;"UNHABITAT_DHS";"Population"
1992;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Malawi";;;56.3;"UNHABITAT_DHS";"Population"
2000;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Malawi";;;68.4;"UNHABITAT_DHS";"Population"
2004;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Malawi";;;63.8;"UNHABITAT_DHS";"Population"
1996;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Mali";;;62.2;"UNHABITAT_DHS";"Population"
2001;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Mali";;;57;"UNHABITAT_DHS";"Population"
2006;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Mali";;;58.5;"UNHABITAT_DHS";"Population"
1992;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Morocco";;;96.4;"UNHABITAT_DHS";"Population"
2004;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Morocco";;;98.3;"UNHABITAT_DHS";"Population"
1997;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Mozambique";;;59.9;"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Mozambique";;;56.6;"UNHABITAT_DHS";"Population"
1992;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Namibia";;;88.5;"UNHABITAT_DHS";"Population"
2000;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Namibia";;;85.1;"UNHABITAT_DHS";"Population"
2007;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Namibia";;;84.9;"UNHABITAT_DHS";"Population"
1992;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Niger";;;64.6;"UNHABITAT_DHS";"Population"
1998;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Niger";;;69.3;"UNHABITAT_DHS";"Population"
2006;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Niger";;;59.7;"UNHABITAT_DHS";"Population"
1999;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Nigeria";;;88.5;"UNHABITAT_DHS";"Population"
2003;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Nigeria";;;89.7;"UNHABITAT_DHS";"Population"
1992;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Rwanda";;;57.7;"UNHABITAT_DHS";"Population"
2000;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Rwanda";;;61.7;"UNHABITAT_DHS";"Population"
2005;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Rwanda";;;47.8;"UNHABITAT_DHS";"Population"
1993;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Senegal";;;91.8;"UNHABITAT_DHS";"Population"
1997;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Senegal";;;93.6;"UNHABITAT_DHS";"Population"
2005;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Senegal";;;90.6;"UNHABITAT_DHS";"Population"
1992;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Tanzania";;;52.7;"UNHABITAT_DHS";"Population"
1996;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Tanzania";;;64.6;"UNHABITAT_DHS";"Population"
1999;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Tanzania";;;62.8;"UNHABITAT_DHS";"Population"
2004;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Tanzania";;;71.6;"UNHABITAT_DHS";"Population"
1998;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Togo";;;95.1;"UNHABITAT_DHS";"Population"
1995;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Uganda";;;67;"UNHABITAT_DHS";"Population"
2001;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Uganda";;;73.6;"UNHABITAT_DHS";"Population"
2006;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Uganda";;;72.8;"UNHABITAT_DHS";"Population"
1992;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Zambia";;;85.2;"UNHABITAT_DHS";"Population"
1996;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Zambia";;;84.6;"UNHABITAT_DHS";"Population"
2002;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Zambia";;;81.9;"UNHABITAT_DHS";"Population"
2007;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Zambia";;;83;"UNHABITAT_DHS";"Population"
1994;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Zimbabwe";;;94.9;"UNHABITAT_DHS";"Population"
1999;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Zimbabwe";;;97.2;"UNHABITAT_DHS";"Population"
2005;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Zimbabwe";;;99.4;"UNHABITAT_DHS";"Population"
1994;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Bolivia";;;78.8;"UNHABITAT_DHS";"Population"
1998;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Bolivia";;;68.7;"UNHABITAT_DHS";"Population"
2004;;"durable_housing_urban_population_countries";"Proportion of urban population with durable housing – Countries";"p";"Total";;"Bolivia";;;86.2;"UNHABITAT_DHS";"Population"
