"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRKEN006006";"Migori";;0.376;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRKEN006003";"Kisii/Central Kisii";;0.39;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRKEN006002";"Homa Bay";;0.421;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRKEN006009";"Siaya";;0.397;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRUGA002002";"Busia";;0.327;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRUGA001008";"Mukono";;0.337;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRUGA002001";"Bugiri";;0.373;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRUGA001005";"Masaka";;0.373;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRUGA002003";"Iganga";;0.384;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRUGA002004";"Jinja";;0.332;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA018002";"Bukoba Rural";;0.348;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA018003";"Muleba";;0.357;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA019006";"Geita";;0.363;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA019005";"Sengerema";;0.374;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA020004";"Bunda";;0.377;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
2006;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA020005";"Musoma Urban";;0.464;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA002003";"Arusha";;0.487;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA021001";"Babati";;0.553;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA018002";"Bukoba Rural";;0.537;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA007";"Dar es Salaa";;0.461;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA001";"Dodoma";;0.591;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA011";"Iringa";;0.697;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA006002";"Kibaha";;0.587;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA016";"Kigoma";;0.428;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA003";"Kilimanjaro";;0.62;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA008";"Lindi";;0.521;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA006006";"Mafia";;0.448;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA011003";"Makete";;0.471;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA012";"Mbeya";;0.581;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
1993;;"expenditure_gini_coefficient_cities";"Expenditure Gini Coefficient – Cities";"r";"Urban";;"AFRTZA005";"Morogoro";;0.476;"UNHABITAT_UNHABITAT_URBAN INEQUITIES SURVEY (UIS), UNHABITAT_UNHABITAT_Living Standards Measurement Study(LSMS)";"Slum dwellers"
