"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1999;2004;"goods_hauled_by_railways";"Goods hauled by railways (in million passengers/km)";1000000;"Total";;"Algeria";;;1945;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"goods_hauled_by_railways";"Goods hauled by railways (in million passengers/km)";1000000;"Total";;"Benin";;;86;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"goods_hauled_by_railways";"Goods hauled by railways (in million passengers/km)";1000000;"Total";;"Botswana";;;842;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"goods_hauled_by_railways";"Goods hauled by railways (in million passengers/km)";1000000;"Total";;"Cameroon";;;1115;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"goods_hauled_by_railways";"Goods hauled by railways (in million passengers/km)";1000000;"Total";;"Congo";;;307;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"goods_hauled_by_railways";"Goods hauled by railways (in million passengers/km)";1000000;"Total";;"Côte d’Ivoire";;;129;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"goods_hauled_by_railways";"Goods hauled by railways (in million passengers/km)";1000000;"Total";;"Congo Dem. Rep.";;;491;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"goods_hauled_by_railways";"Goods hauled by railways (in million passengers/km)";1000000;"Total";;"Egypt";;;4188;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"goods_hauled_by_railways";"Goods hauled by railways (in million passengers/km)";1000000;"Total";;"Gabon";;;1949;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"goods_hauled_by_railways";"Goods hauled by railways (in million passengers/km)";1000000;"Total";;"Ghana";;;242;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
