"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Angola";;;4709;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Ethiopia";;;2456;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Kenya";;;22;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Morocco";;;1256;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Namibia";;;591;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"South Africa";;;434;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Tunisia";;;16611;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Armenia";;;231;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Azerbaijan";;;7536;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Cambodia";;;3;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"China";;;869320;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Georgia";;;570;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Japan";;;327632;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Kazakhstan";;;47100;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Kyrgyzstan";;;1336;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Mongolia";;;242;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Korea Rep";;;12545;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Turkey";;;166831;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Uzbekistan";;;1200;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Albania";;;2200;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Austria";;;26411;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
2000;2005;"goods_hauled_by_road";"Goods hauled by road (million ton/km)";"n";"per 100,000 population";;"Belarus";;;15055;"World Bank (2008) _World Development Indicators_ 2008";"Transport"
