"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"has_telephone";"Access to telephone";"p";;;"AL";;;0;"Urban numbers 1.0 data";"Population"
2005;;"has_telephone";"Access to telephone";"p";;;"AL";;;0;"Urban numbers 1.0 data";"Population"
2000;;"has_telephone";"Access to telephone";"p";;;"AM";;;"74.9";"Urban numbers 1.0 data";"Population"
2005;;"has_telephone";"Access to telephone";"p";;;"AM";;;"83.5";"Urban numbers 1.0 data";"Population"
2006;;"has_telephone";"Access to telephone";"p";;;"AO";;;0;"Urban numbers 1.0 data";"Population"
2006;;"has_telephone";"Access to telephone";"p";;;"AZ";;;"75.9";"Urban numbers 1.0 data";"Population"
2000;;"has_telephone";"Access to telephone";"p";;;"AZ";;;0;"Urban numbers 1.0 data";"Population"
2006;;"has_telephone";"Access to telephone";"p";;;"BA";;;0;"Urban numbers 1.0 data";"Population"
1994;;"has_telephone";"Access to telephone";"p";;;"BD";;;0;"Urban numbers 1.0 data";"Population"
1996;;"has_telephone";"Access to telephone";"p";;;"BD";;;0;"Urban numbers 1.0 data";"Population"
1999;;"has_telephone";"Access to telephone";"p";;;"BD";;;"7.5";"Urban numbers 1.0 data";"Population"
2004;;"has_telephone";"Access to telephone";"p";;;"BD";;;"15.6";"Urban numbers 1.0 data";"Population"
2006;;"has_telephone";"Access to telephone";"p";;;"BD";;;0;"Urban numbers 1.0 data";"Population"
1992;;"has_telephone";"Access to telephone";"p";;;"BF";;;0;"Urban numbers 1.0 data";"Population"
1999;;"has_telephone";"Access to telephone";"p";;;"BF";;;"9.5";"Urban numbers 1.0 data";"Population"
2003;;"has_telephone";"Access to telephone";"p";;;"BF";;;"17.6";"Urban numbers 1.0 data";"Population"
2005;;"has_telephone";"Access to telephone";"p";;;"BI";;;0;"Urban numbers 1.0 data";"Population"
1996;;"has_telephone";"Access to telephone";"p";;;"BJ";;;0;"Urban numbers 1.0 data";"Population"
2001;;"has_telephone";"Access to telephone";"p";;;"BJ";;;"8.7";"Urban numbers 1.0 data";"Population"
2006;;"has_telephone";"Access to telephone";"p";;;"BJ";;;"5.9";"Urban numbers 1.0 data";"Population"
1994;;"has_telephone";"Access to telephone";"p";;;"BO";;;"17.6";"Urban numbers 1.0 data";"Population"
1998;;"has_telephone";"Access to telephone";"p";;;"BO";;;"36.1";"Urban numbers 1.0 data";"Population"
2004;;"has_telephone";"Access to telephone";"p";;;"BO";;;"28.5";"Urban numbers 1.0 data";"Population"
1991;;"has_telephone";"Access to telephone";"p";;;"BR";;;0;"Urban numbers 1.0 data";"Population"
1996;;"has_telephone";"Access to telephone";"p";;;"BR";;;0;"Urban numbers 1.0 data";"Population"
2005;;"has_telephone";"Access to telephone";"p";;;"BY";;;0;"Urban numbers 1.0 data";"Population"
2006;;"has_telephone";"Access to telephone";"p";;;"BZ";;;0;"Urban numbers 1.0 data";"Population"
2005;;"has_telephone";"Access to telephone";"p";;;"CI";;;"41.1";"Urban numbers 1.0 data";"Population"
1994;;"has_telephone";"Access to telephone";"p";;;"CI";;;0;"Urban numbers 1.0 data";"Population"
1998;;"has_telephone";"Access to telephone";"p";;;"CI";;;"10.2";"Urban numbers 1.0 data";"Population"
2006;;"has_telephone";"Access to telephone";"p";;;"CI";;;0;"Urban numbers 1.0 data";"Population"
2006;;"has_telephone";"Access to telephone";"p";;;"CM";;;0;"Urban numbers 1.0 data";"Population"
1991;;"has_telephone";"Access to telephone";"p";;;"CM";;;0;"Urban numbers 1.0 data";"Population"
1998;;"has_telephone";"Access to telephone";"p";;;"CM";;;"5.1";"Urban numbers 1.0 data";"Population"
2004;;"has_telephone";"Access to telephone";"p";;;"CM";;;"3.5";"Urban numbers 1.0 data";"Population"
2000;;"has_telephone";"Access to telephone";"p";;;"CO";;;"66.7";"Urban numbers 1.0 data";"Population"
1995;;"has_telephone";"Access to telephone";"p";;;"CO";;;"48.9";"Urban numbers 1.0 data";"Population"
1990;;"has_telephone";"Access to telephone";"p";;;"CO";;;"41.1";"Urban numbers 1.0 data";"Population"
2005;;"has_telephone";"Access to telephone";"p";;;"CO";;;"68.7";"Urban numbers 1.0 data";"Population"
2005;;"has_telephone";"Access to telephone";"p";;;"EG";;;"73.4";"Urban numbers 1.0 data";"Population"
