"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Iraq";;;0;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Tajikistan";;;0;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Uzbekistan";;;0;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Croatia";;;0;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Tajikistan";;;0.003;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Turkmenistan";;;0.004;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Tunisia";;;0.005;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Syria";;;0.005;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Jordan";;;0.005;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Jordan";;;0.006;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Croatia";;;0.006;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Tunisia";;;0.006;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Macedonia";;;0.006;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Iraq";;;0.007;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Romania";;;0.007;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Slovakia";;;0.007;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Macedonia";;;0.007;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Slovenia";;;0.008;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Bosnia and Herzegovina";;;0.008;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Bosnia and Herzegovina";;;0.009;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Egypt";;;0.01;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Egypt";;;0.01;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Bangladesh";;;0.01;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Korea Rep";;;0.01;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Japan";;;0.01;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Kyrgyzstan";;;0.01;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Philippines";;;0.01;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Slovenia";;;0.01;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Azerbaijan";;;0.02;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Georgia";;;0.02;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2003;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Sri Lanka";;;0.03;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Iran";;;0.03;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Lao PDR";;;0.03;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Sri Lanka";;;0.03;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Hungary";;;0.03;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Romania";;;0.03;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
2001;;"hiv_prevalence_15_to_49_year";"HIV prevalence among population 15-49 year";"p";"Total";;"Cuba";;;0.03;"World Bank, 2004_World Bank, 2006_ WHO, 2006_UNDP, 2005";"Health"
