"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"households_solid_waste_burn_1_shelter_deprivation";"Proportion of households who burn solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Benin";;;05/05/14;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_burn_1_shelter_deprivation";"Proportion of households who burn solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Egypt";;;01/05/14;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_burn_1_shelter_deprivation";"Proportion of households who burn solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Ethiopia";;;07/16/14;"Multiple sources";"Slum dwellers"
2003;;"households_solid_waste_burn_1_shelter_deprivation";"Proportion of households who burn solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Ghana";;;9;"Multiple sources";"Slum dwellers"
1997;;"households_solid_waste_burn_1_shelter_deprivation";"Proportion of households who burn solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Senegal";;;08/06/14;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_burn_1_shelter_deprivation";"Proportion of households who burn solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Colombia";;;3;"Multiple sources";"Slum dwellers"
1998;;"households_solid_waste_burn_1_shelter_deprivation";"Proportion of households who burn solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Guatemala";;;03/20/14;"Multiple sources";"Slum dwellers"
2002;;"households_solid_waste_burn_1_shelter_deprivation";"Proportion of households who burn solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Dominican Republic";;;08/10/14;"Multiple sources";"Slum dwellers"
2001;;"households_solid_waste_burn_1_shelter_deprivation";"Proportion of households who burn solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Nicaragua";;;03/28/14;"Multiple sources";"Slum dwellers"
1991;;"households_solid_waste_burn_1_shelter_deprivation";"Proportion of households who burn solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Peru";;;04/01/14;"Multiple sources";"Slum dwellers"
2000;;"households_solid_waste_burn_1_shelter_deprivation";"Proportion of households who burn solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Suriname";;;"33.6";"Multiple sources";"Slum dwellers"
