"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"households_solid_waste_burn_2_plus_shelter_deprivation";"Proportion of households who burn solid waste - 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Benin";;;09/03/14;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_burn_2_plus_shelter_deprivation";"Proportion of households who burn solid waste - 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Egypt";;;01/16/14;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_burn_2_plus_shelter_deprivation";"Proportion of households who burn solid waste - 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Ethiopia";;;04/26/14;"Multiple sources";"Slum dwellers"
2003;;"households_solid_waste_burn_2_plus_shelter_deprivation";"Proportion of households who burn solid waste - 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Ghana";;;02/11/14;"Multiple sources";"Slum dwellers"
1997;;"households_solid_waste_burn_2_plus_shelter_deprivation";"Proportion of households who burn solid waste - 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Senegal";;;09/17/14;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_burn_2_plus_shelter_deprivation";"Proportion of households who burn solid waste - 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Colombia";;;01/14/14;"Multiple sources";"Slum dwellers"
1998;;"households_solid_waste_burn_2_plus_shelter_deprivation";"Proportion of households who burn solid waste - 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Guatemala";;;"36.6";"Multiple sources";"Slum dwellers"
2002;;"households_solid_waste_burn_2_plus_shelter_deprivation";"Proportion of households who burn solid waste - 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Dominican Republic";;;02/26/14;"Multiple sources";"Slum dwellers"
2001;;"households_solid_waste_burn_2_plus_shelter_deprivation";"Proportion of households who burn solid waste - 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Nicaragua";;;"41.3";"Multiple sources";"Slum dwellers"
1991;;"households_solid_waste_burn_2_plus_shelter_deprivation";"Proportion of households who burn solid waste - 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Peru";;;08/01/14;"Multiple sources";"Slum dwellers"
2000;;"households_solid_waste_burn_2_plus_shelter_deprivation";"Proportion of households who burn solid waste - 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Suriname";;;05/04/14;"Multiple sources";"Slum dwellers"
