"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"households_solid_waste_burn_non_slum";"Proportion of households who burn solid waste – Non slum";"p";"Non-slum";;"Benin";;;"4.6";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"households_solid_waste_burn_non_slum";"Proportion of households who burn solid waste – Non slum";"p";"Non-slum";;"Egypt";;;1;"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"households_solid_waste_burn_non_slum";"Proportion of households who burn solid waste – Non slum";"p";"Non-slum";;"Ethiopia";;;"14.3";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2003;;"households_solid_waste_burn_non_slum";"Proportion of households who burn solid waste – Non slum";"p";"Non-slum";;"Ghana";;;"6.7";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
1997;;"households_solid_waste_burn_non_slum";"Proportion of households who burn solid waste – Non slum";"p";"Non-slum";;"Senegal";;;"2.6";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"households_solid_waste_burn_non_slum";"Proportion of households who burn solid waste – Non slum";"p";"Non-slum";;"Colombia";;;"0.7";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
1998;;"households_solid_waste_burn_non_slum";"Proportion of households who burn solid waste – Non slum";"p";"Non-slum";;"Guatemala";;;"9.7";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2002;;"households_solid_waste_burn_non_slum";"Proportion of households who burn solid waste – Non slum";"p";"Non-slum";;"Dominican Republic";;;"5.6";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2001;;"households_solid_waste_burn_non_slum";"Proportion of households who burn solid waste – Non slum";"p";"Non-slum";;"Nicaragua";;;"11.3";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
1991;;"households_solid_waste_burn_non_slum";"Proportion of households who burn solid waste – Non slum";"p";"Non-slum";;"Peru";;;"0.9";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2000;;"households_solid_waste_burn_non_slum";"Proportion of households who burn solid waste – Non slum";"p";"Non-slum";;"Suriname";;;"36.3";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
