"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"households_solid_waste_burn_slum";"Proportion of households who burn solid waste – Slum ";"p";"Slum";;"Benin";;;"4.7";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"households_solid_waste_burn_slum";"Proportion of households who burn solid waste – Slum ";"p";"Slum";;"Egypt";;;"6.5";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"households_solid_waste_burn_slum";"Proportion of households who burn solid waste – Slum ";"p";"Slum";;"Ethiopia";;;"22.7";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2003;;"households_solid_waste_burn_slum";"Proportion of households who burn solid waste – Slum ";"p";"Slum";;"Ghana";;;"9.4";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
1997;;"households_solid_waste_burn_slum";"Proportion of households who burn solid waste – Slum ";"p";"Slum";;"Senegal";;;"10.9";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"households_solid_waste_burn_slum";"Proportion of households who burn solid waste – Slum ";"p";"Slum";;"Colombia";;;"4.8";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
1998;;"households_solid_waste_burn_slum";"Proportion of households who burn solid waste – Slum ";"p";"Slum";;"Guatemala";;;"26.9";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2002;;"households_solid_waste_burn_slum";"Proportion of households who burn solid waste – Slum ";"p";"Slum";;"Dominican Republic";;;"13.2";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2001;;"households_solid_waste_burn_slum";"Proportion of households who burn solid waste – Slum ";"p";"Slum";;"Nicaragua";;;"34.8";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
1991;;"households_solid_waste_burn_slum";"Proportion of households who burn solid waste – Slum ";"p";"Slum";;"Peru";;;"1.6";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2000;;"households_solid_waste_burn_slum";"Proportion of households who burn solid waste – Slum ";"p";"Slum";;"Suriname";;;"17.7";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
