"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"households_solid_waste_burn_urban";"Proportion of households who burn solid waste – Urban ";"p";"Urban";;"Benin";;;4.7;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_burn_urban";"Proportion of households who burn solid waste – Urban ";"p";"Urban";;"Egypt";;;1.9;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_burn_urban";"Proportion of households who burn solid waste – Urban ";"p";"Urban";;"Ethiopia";;;20.5;"Multiple sources";"Slum dwellers"
2003;;"households_solid_waste_burn_urban";"Proportion of households who burn solid waste – Urban ";"p";"Urban";;"Ghana";;;7.7;"Multiple sources";"Slum dwellers"
1997;;"households_solid_waste_burn_urban";"Proportion of households who burn solid waste – Urban ";"p";"Urban";;"Senegal";;;7.6;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_burn_urban";"Proportion of households who burn solid waste – Urban ";"p";"Urban";;"Colombia";;;1.4;"Multiple sources";"Slum dwellers"
1998;;"households_solid_waste_burn_urban";"Proportion of households who burn solid waste – Urban ";"p";"Urban";;"Guatemala";;;17.6;"Multiple sources";"Slum dwellers"
2002;;"households_solid_waste_burn_urban";"Proportion of households who burn solid waste – Urban ";"p";"Urban";;"Dominican Republic";;;7.1;"Multiple sources";"Slum dwellers"
2001;;"households_solid_waste_burn_urban";"Proportion of households who burn solid waste – Urban ";"p";"Urban";;"Nicaragua";;;24.8;"Multiple sources";"Slum dwellers"
1991;;"households_solid_waste_burn_urban";"Proportion of households who burn solid waste – Urban ";"p";"Urban";;"Peru";;;1.2;"Multiple sources";"Slum dwellers"
2000;;"households_solid_waste_burn_urban";"Proportion of households who burn solid waste – Urban ";"p";"Urban";;"Suriname";;;23.1;"Multiple sources";"Slum dwellers"
