year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2001;;households_solid_waste_collected_1_shelter_deprivation;Proportion of households whose solid waste is collected (by public or private services) - 1 Shelter deprivation;p;1 Shelter deprivation;;Benin;;;16.1;Multiple sources;Slum dwellers
2005;;households_solid_waste_collected_1_shelter_deprivation;Proportion of households whose solid waste is collected (by public or private services) - 1 Shelter deprivation;p;1 Shelter deprivation;;Egypt;;;69.8;Multiple sources;Slum dwellers
2005;;households_solid_waste_collected_1_shelter_deprivation;Proportion of households whose solid waste is collected (by public or private services) - 1 Shelter deprivation;p;1 Shelter deprivation;;Ethiopia;;;51.3;Multiple sources;Slum dwellers
2003;;households_solid_waste_collected_1_shelter_deprivation;Proportion of households whose solid waste is collected (by public or private services) - 1 Shelter deprivation;p;1 Shelter deprivation;;Ghana;;;29.2;Multiple sources;Slum dwellers
2003;;households_solid_waste_collected_1_shelter_deprivation;Proportion of households whose solid waste is collected (by public or private services) - 1 Shelter deprivation;p;1 Shelter deprivation;;Kenya;;;22.8;Multiple sources;Slum dwellers
2004;;households_solid_waste_collected_1_shelter_deprivation;Proportion of households whose solid waste is collected (by public or private services) - 1 Shelter deprivation;p;1 Shelter deprivation;;Madagascar;;;96.2;Multiple sources;Slum dwellers
1997;;households_solid_waste_collected_1_shelter_deprivation;Proportion of households whose solid waste is collected (by public or private services) - 1 Shelter deprivation;p;1 Shelter deprivation;;Senegal;;;85.6;Multiple sources;Slum dwellers
2005;;households_solid_waste_collected_1_shelter_deprivation;Proportion of households whose solid waste is collected (by public or private services) - 1 Shelter deprivation;p;1 Shelter deprivation;;Colombia;;;94.6;Multiple sources;Slum dwellers
1998;;households_solid_waste_collected_1_shelter_deprivation;Proportion of households whose solid waste is collected (by public or private services) - 1 Shelter deprivation;p;1 Shelter deprivation;;Guatemala;;;59.5;Multiple sources;Slum dwellers
2002;;households_solid_waste_collected_1_shelter_deprivation;Proportion of households whose solid waste is collected (by public or private services) - 1 Shelter deprivation;p;1 Shelter deprivation;;Dominican Republic;;;72.9;Multiple sources;Slum dwellers
2001;;households_solid_waste_collected_1_shelter_deprivation;Proportion of households whose solid waste is collected (by public or private services) - 1 Shelter deprivation;p;1 Shelter deprivation;;Nicaragua;;;63.2;Multiple sources;Slum dwellers
1991;;households_solid_waste_collected_1_shelter_deprivation;Proportion of households whose solid waste is collected (by public or private services) - 1 Shelter deprivation;p;1 Shelter deprivation;;Peru;;;70;Multiple sources;Slum dwellers
2000;;households_solid_waste_collected_1_shelter_deprivation;Proportion of households whose solid waste is collected (by public or private services) - 1 Shelter deprivation;p;1 Shelter deprivation;;Suriname;;;25.2;Multiple sources;Slum dwellers
