"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"households_solid_waste_collected_2_plus_shelter_deprivation";"Proportion of households whose solid waste is collected (by public or private services) – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Benin";;;07/02/14;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_collected_2_plus_shelter_deprivation";"Proportion of households whose solid waste is collected (by public or private services) – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Egypt";;;"55.1";"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_collected_2_plus_shelter_deprivation";"Proportion of households whose solid waste is collected (by public or private services) – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Ethiopia";;;03/18/14;"Multiple sources";"Slum dwellers"
2003;;"households_solid_waste_collected_2_plus_shelter_deprivation";"Proportion of households whose solid waste is collected (by public or private services) – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Ghana";;;09/23/14;"Multiple sources";"Slum dwellers"
2003;;"households_solid_waste_collected_2_plus_shelter_deprivation";"Proportion of households whose solid waste is collected (by public or private services) – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Kenya";;;03/05/14;"Multiple sources";"Slum dwellers"
2004;;"households_solid_waste_collected_2_plus_shelter_deprivation";"Proportion of households whose solid waste is collected (by public or private services) – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Madagascar";;;"79.6";"Multiple sources";"Slum dwellers"
1997;;"households_solid_waste_collected_2_plus_shelter_deprivation";"Proportion of households whose solid waste is collected (by public or private services) – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Senegal";;;"70.8";"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_collected_2_plus_shelter_deprivation";"Proportion of households whose solid waste is collected (by public or private services) – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Colombia";;;"71.7";"Multiple sources";"Slum dwellers"
1998;;"households_solid_waste_collected_2_plus_shelter_deprivation";"Proportion of households whose solid waste is collected (by public or private services) – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Guatemala";;;06/20/14;"Multiple sources";"Slum dwellers"
2002;;"households_solid_waste_collected_2_plus_shelter_deprivation";"Proportion of households whose solid waste is collected (by public or private services) – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Dominican Republic";;;"48.5";"Multiple sources";"Slum dwellers"
2001;;"households_solid_waste_collected_2_plus_shelter_deprivation";"Proportion of households whose solid waste is collected (by public or private services) – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Nicaragua";;;"42.9";"Multiple sources";"Slum dwellers"
1991;;"households_solid_waste_collected_2_plus_shelter_deprivation";"Proportion of households whose solid waste is collected (by public or private services) – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Peru";;;"36.3";"Multiple sources";"Slum dwellers"
2000;;"households_solid_waste_collected_2_plus_shelter_deprivation";"Proportion of households whose solid waste is collected (by public or private services) – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Suriname";;;"0.5";"Multiple sources";"Slum dwellers"
