"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"households_solid_waste_collected_non_slum";"Proportion of households whose solid waste is collected (by public or private services) – Non slum";"p";"Non-slum";;"Benin";;;"48.9";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"households_solid_waste_collected_non_slum";"Proportion of households whose solid waste is collected (by public or private services) – Non slum";"p";"Non-slum";;"Egypt";;;"90.3";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"households_solid_waste_collected_non_slum";"Proportion of households whose solid waste is collected (by public or private services) – Non slum";"p";"Non-slum";;"Ethiopia";;;"62.2";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2003;;"households_solid_waste_collected_non_slum";"Proportion of households whose solid waste is collected (by public or private services) – Non slum";"p";"Non-slum";;"Ghana";;;"46.5";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2003;;"households_solid_waste_collected_non_slum";"Proportion of households whose solid waste is collected (by public or private services) – Non slum";"p";"Non-slum";;"Kenya";;;"44.9";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2004;;"households_solid_waste_collected_non_slum";"Proportion of households whose solid waste is collected (by public or private services) – Non slum";"p";"Non-slum";;"Madagascar";;;"99.5";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
1997;;"households_solid_waste_collected_non_slum";"Proportion of households whose solid waste is collected (by public or private services) – Non slum";"p";"Non-slum";;"Senegal";;;"94.8";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2005;;"households_solid_waste_collected_non_slum";"Proportion of households whose solid waste is collected (by public or private services) – Non slum";"p";"Non-slum";;"Colombia";;;"98.5";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
1998;;"households_solid_waste_collected_non_slum";"Proportion of households whose solid waste is collected (by public or private services) – Non slum";"p";"Non-slum";;"Guatemala";;;"78.9";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2002;;"households_solid_waste_collected_non_slum";"Proportion of households whose solid waste is collected (by public or private services) – Non slum";"p";"Non-slum";;"Dominican Republic";;;"87.1";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2001;;"households_solid_waste_collected_non_slum";"Proportion of households whose solid waste is collected (by public or private services) – Non slum";"p";"Non-slum";;"Nicaragua";;;"85.4";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
1991;;"households_solid_waste_collected_non_slum";"Proportion of households whose solid waste is collected (by public or private services) – Non slum";"p";"Non-slum";;"Peru";;;"88.8";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
2000;;"households_solid_waste_collected_non_slum";"Proportion of households whose solid waste is collected (by public or private services) – Non slum";"p";"Non-slum";;"Suriname";;;"46.5";"UNHABITAT_UNHABITAT_DHS, UNHABITAT_UNHABITAT_MICS";"Slum dwellers"
