"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"households_solid_waste_disposal_urban";"Proportion of households who use other source disposal of solid waste – Urban ";"p";"Urban";;"Benin";;;"66.3";"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_disposal_urban";"Proportion of households who use other source disposal of solid waste – Urban ";"p";"Urban";;"Egypt";;;05/11/14;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_disposal_urban";"Proportion of households who use other source disposal of solid waste – Urban ";"p";"Urban";;"Ethiopia";;;"40.5";"Multiple sources";"Slum dwellers"
2003;;"households_solid_waste_disposal_urban";"Proportion of households who use other source disposal of solid waste – Urban ";"p";"Urban";;"Ghana";;;50;"Multiple sources";"Slum dwellers"
2003;;"households_solid_waste_disposal_urban";"Proportion of households who use other source disposal of solid waste – Urban ";"p";"Urban";;"Kenya";;;"59.2";"Multiple sources";"Slum dwellers"
2004;;"households_solid_waste_disposal_urban";"Proportion of households who use other source disposal of solid waste – Urban ";"p";"Urban";;"Madagascar";;;1;"Multiple sources";"Slum dwellers"
1997;;"households_solid_waste_disposal_urban";"Proportion of households who use other source disposal of solid waste – Urban ";"p";"Urban";;"Senegal";;;09/03/14;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_disposal_urban";"Proportion of households who use other source disposal of solid waste – Urban ";"p";"Urban";;"Colombia";;;03/01/14;"Multiple sources";"Slum dwellers"
1998;;"households_solid_waste_disposal_urban";"Proportion of households who use other source disposal of solid waste – Urban ";"p";"Urban";;"Guatemala";;;08/16/14;"Multiple sources";"Slum dwellers"
2002;;"households_solid_waste_disposal_urban";"Proportion of households who use other source disposal of solid waste – Urban ";"p";"Urban";;"Dominican Republic";;;03/09/14;"Multiple sources";"Slum dwellers"
2001;;"households_solid_waste_disposal_urban";"Proportion of households who use other source disposal of solid waste – Urban ";"p";"Urban";;"Nicaragua";;;05/05/14;"Multiple sources";"Slum dwellers"
1991;;"households_solid_waste_disposal_urban";"Proportion of households who use other source disposal of solid waste – Urban ";"p";"Urban";;"Peru";;;01/26/14;"Multiple sources";"Slum dwellers"
2000;;"households_solid_waste_disposal_urban";"Proportion of households who use other source disposal of solid waste – Urban ";"p";"Urban";;"Suriname";;;06/10/14;"Multiple sources";"Slum dwellers"
