"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"households_solid_waste_other_disposal_1_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Benin";;;76.9;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_other_disposal_1_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Egypt";;;25.1;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_other_disposal_1_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Ethiopia";;;32;"Multiple sources";"Slum dwellers"
2003;;"households_solid_waste_other_disposal_1_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Ghana";;;59;"Multiple sources";"Slum dwellers"
2003;;"households_solid_waste_other_disposal_1_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Kenya";;;61.9;"Multiple sources";"Slum dwellers"
2004;;"households_solid_waste_other_disposal_1_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Madagascar";;;3.8;"Multiple sources";"Slum dwellers"
1997;;"households_solid_waste_other_disposal_1_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Senegal";;;4.5;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_other_disposal_1_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Colombia";;;2.2;"Multiple sources";"Slum dwellers"
1998;;"households_solid_waste_other_disposal_1_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Guatemala";;;17.3;"Multiple sources";"Slum dwellers"
2002;;"households_solid_waste_other_disposal_1_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Dominican Republic";;;16.2;"Multiple sources";"Slum dwellers"
2001;;"households_solid_waste_other_disposal_1_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Nicaragua";;;5.4;"Multiple sources";"Slum dwellers"
1991;;"households_solid_waste_other_disposal_1_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Peru";;;27.1;"Multiple sources";"Slum dwellers"
2000;;"households_solid_waste_other_disposal_1_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Suriname";;;37.2;"Multiple sources";"Slum dwellers"
