"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"households_solid_waste_other_disposal_2_plus_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Benin";;;90.9;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_other_disposal_2_plus_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Egypt";;;28.8;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_other_disposal_2_plus_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Ethiopia";;;55.3;"Multiple sources";"Slum dwellers"
2003;;"households_solid_waste_other_disposal_2_plus_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Ghana";;;56.4;"Multiple sources";"Slum dwellers"
2003;;"households_solid_waste_other_disposal_2_plus_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Kenya";;;79.9;"Multiple sources";"Slum dwellers"
2004;;"households_solid_waste_other_disposal_2_plus_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Madagascar";;;20.4;"Multiple sources";"Slum dwellers"
1997;;"households_solid_waste_other_disposal_2_plus_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Senegal";;;6.4;"Multiple sources";"Slum dwellers"
2005;;"households_solid_waste_other_disposal_2_plus_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Colombia";;;13.5;"Multiple sources";"Slum dwellers"
1998;;"households_solid_waste_other_disposal_2_plus_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Guatemala";;;36.4;"Multiple sources";"Slum dwellers"
2002;;"households_solid_waste_other_disposal_2_plus_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Dominican Republic";;;25.3;"Multiple sources";"Slum dwellers"
2001;;"households_solid_waste_other_disposal_2_plus_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Nicaragua";;;10.5;"Multiple sources";"Slum dwellers"
1991;;"households_solid_waste_other_disposal_2_plus_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Peru";;;57.2;"Multiple sources";"Slum dwellers"
2000;;"households_solid_waste_other_disposal_2_plus_shelter_deprivation";"Proportion of households who use other source disposal of solid waste – 2+ shelter deprivation";"p";"2+ shelter deprivation";;"Suriname";;;93.1;"Multiple sources";"Slum dwellers"
