"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"households_solid_waste_other_disposal_non_slum";"Proportion of households who use other source disposal of solid waste – Non slum";"p";"Non-slum";;"Benin";;;45;"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2005;;"households_solid_waste_other_disposal_non_slum";"Proportion of households who use other source disposal of solid waste – Non slum";"p";"Non-slum";;"Egypt";;;"8.7";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2005;;"households_solid_waste_other_disposal_non_slum";"Proportion of households who use other source disposal of solid waste – Non slum";"p";"Non-slum";;"Ethiopia";;;"23.5";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2003;;"households_solid_waste_other_disposal_non_slum";"Proportion of households who use other source disposal of solid waste – Non slum";"p";"Non-slum";;"Ghana";;;"44.9";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2003;;"households_solid_waste_other_disposal_non_slum";"Proportion of households who use other source disposal of solid waste – Non slum";"p";"Non-slum";;"Kenya";;;"46.2";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2004;;"households_solid_waste_other_disposal_non_slum";"Proportion of households who use other source disposal of solid waste – Non slum";"p";"Non-slum";;"Madagascar";;;"0.5";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
1997;;"households_solid_waste_other_disposal_non_slum";"Proportion of households who use other source disposal of solid waste – Non slum";"p";"Non-slum";;"Senegal";;;2;"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2005;;"households_solid_waste_other_disposal_non_slum";"Proportion of households who use other source disposal of solid waste – Non slum";"p";"Non-slum";;"Colombia";;;"0.7";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
1998;;"households_solid_waste_other_disposal_non_slum";"Proportion of households who use other source disposal of solid waste – Non slum";"p";"Non-slum";;"Guatemala";;;"9.9";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2002;;"households_solid_waste_other_disposal_non_slum";"Proportion of households who use other source disposal of solid waste – Non slum";"p";"Non-slum";;"Dominican Republic";;;"7.3";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2001;;"households_solid_waste_other_disposal_non_slum";"Proportion of households who use other source disposal of solid waste – Non slum";"p";"Non-slum";;"Nicaragua";;;"2.3";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
1991;;"households_solid_waste_other_disposal_non_slum";"Proportion of households who use other source disposal of solid waste – Non slum";"p";"Non-slum";;"Peru";;;"9.7";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2000;;"households_solid_waste_other_disposal_non_slum";"Proportion of households who use other source disposal of solid waste – Non slum";"p";"Non-slum";;"Suriname";;;"13.2";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
