"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"households_solid_waste_other_disposal_slum";"Proportion of households who use other source disposal of solid waste – Slum";"p";"Slum";;"Benin";;;"83.6";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2005;;"households_solid_waste_other_disposal_slum";"Proportion of households who use other source disposal of solid waste – Slum";"p";"Slum";;"Egypt";;;"25.5";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2005;;"households_solid_waste_other_disposal_slum";"Proportion of households who use other source disposal of solid waste – Slum";"p";"Slum";;"Ethiopia";;;"46.5";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2003;;"households_solid_waste_other_disposal_slum";"Proportion of households who use other source disposal of solid waste – Slum";"p";"Slum";;"Ghana";;;"58.5";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2003;;"households_solid_waste_other_disposal_slum";"Proportion of households who use other source disposal of solid waste – Slum";"p";"Slum";;"Kenya";;;"69.6";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2004;;"households_solid_waste_other_disposal_slum";"Proportion of households who use other source disposal of solid waste – Slum";"p";"Slum";;"Madagascar";;;"5.4";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
1997;;"households_solid_waste_other_disposal_slum";"Proportion of households who use other source disposal of solid waste – Slum";"p";"Slum";;"Senegal";;;"5.2";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2005;;"households_solid_waste_other_disposal_slum";"Proportion of households who use other source disposal of solid waste – Slum";"p";"Slum";;"Colombia";;;4;"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
1998;;"households_solid_waste_other_disposal_slum";"Proportion of households who use other source disposal of solid waste – Slum";"p";"Slum";;"Guatemala";;;"25.1";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2002;;"households_solid_waste_other_disposal_slum";"Proportion of households who use other source disposal of solid waste – Slum";"p";"Slum";;"Dominican Republic";;;"17.6";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2001;;"households_solid_waste_other_disposal_slum";"Proportion of households who use other source disposal of solid waste – Slum";"p";"Slum";;"Nicaragua";;;"7.9";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
1991;;"households_solid_waste_other_disposal_slum";"Proportion of households who use other source disposal of solid waste – Slum";"p";"Slum";;"Peru";;;"43.1";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
2000;;"households_solid_waste_other_disposal_slum";"Proportion of households who use other source disposal of solid waste – Slum";"p";"Slum";;"Suriname";;;"67.8";"UNHABITAT_UN-Habitat_DHS, UNHABITAT_UN-HABITATt_MICS";"Slum dwellers"
