"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"improved_floor";"Access to improved flooring";"p";;;"AL";;;"99.7";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_floor";"Access to improved flooring";"p";;;"AL";;;"99.6";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_floor";"Access to improved flooring";"p";;;"AM";;;"99.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_floor";"Access to improved flooring";"p";;;"AM";;;"78.7";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_floor";"Access to improved flooring";"p";;;"AO";;;"86.7";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_floor";"Access to improved flooring";"p";;;"AZ";;;02/25/14;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_floor";"Access to improved flooring";"p";;;"AZ";;;"97.6";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_floor";"Access to improved flooring";"p";;;"BA";;;96;"Urban numbers 1.0 data";"Slum dwellers"
1994;;"improved_floor";"Access to improved flooring";"p";;;"BD";;;"52.6";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"improved_floor";"Access to improved flooring";"p";;;"BD";;;"58.6";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"improved_floor";"Access to improved flooring";"p";;;"BD";;;"55.7";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"improved_floor";"Access to improved flooring";"p";;;"BD";;;46;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_floor";"Access to improved flooring";"p";;;"BD";;;"42.3";"Urban numbers 1.0 data";"Slum dwellers"
1992;;"improved_floor";"Access to improved flooring";"p";;;"BF";;;"85.9";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"improved_floor";"Access to improved flooring";"p";;;"BF";;;"92.4";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"improved_floor";"Access to improved flooring";"p";;;"BF";;;"93.7";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_floor";"Access to improved flooring";"p";;;"BI";;;56;"Urban numbers 1.0 data";"Slum dwellers"
1996;;"improved_floor";"Access to improved flooring";"p";;;"BJ";;;"79.6";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"improved_floor";"Access to improved flooring";"p";;;"BJ";;;"80.9";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_floor";"Access to improved flooring";"p";;;"BJ";;;81;"Urban numbers 1.0 data";"Slum dwellers"
1994;;"improved_floor";"Access to improved flooring";"p";;;"BO";;;"78.8";"Urban numbers 1.0 data";"Slum dwellers"
