"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2003;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRAGO004";"Luanda";;"59.5";"UNHABITAT_DHS";"Slum dwellers"
2000;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIARM018015";"ASIARM018015";;"96.7";"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIARM018015";"ASIARM018015";;"93.6";"UNHABITAT_DHS";"Slum dwellers"
2005;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIARM018015";"ASIARM018015";;"99.5";"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIAZE011001";"Baku";;"85.3";"UNHABITAT_DHS";"Slum dwellers"
1994;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIBGD003001";"Dhaka";;"86.2";"UNHABITAT_DHS";"Slum dwellers"
1994;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIBGD006013";"Rajshahi";;"95.5";"UNHABITAT_DHS";"Slum dwellers"
1996;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIBGD003001";"Dhaka";;"89.2";"UNHABITAT_DHS";"Slum dwellers"
1996;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIBGD006013";"Rajshahi";;"95.7";"UNHABITAT_DHS";"Slum dwellers"
1999;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIBGD003001";"Dhaka";;"69.5";"UNHABITAT_DHS";"Slum dwellers"
1999;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIBGD006013";"Rajshahi";;"50.8";"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIBGD003001";"Dhaka";;"90.4";"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIBGD006013";"Rajshahi";;"73.8";"UNHABITAT_DHS";"Slum dwellers"
2004;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIBGD003001";"Dhaka";;"01/31/14";"UNHABITAT_DHS";"Slum dwellers"
2004;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIBGD006013";"Rajshahi";;"06/26/14";"UNHABITAT_DHS";"Slum dwellers"
2006;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIBGD003001";"Dhaka";;"55.3";"UNHABITAT_DHS";"Slum dwellers"
2006;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIBGD006013";"Rajshahi";;"58.6";"UNHABITAT_DHS";"Slum dwellers"
1990;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;"47.5";"UNHABITAT_DHS";"Slum dwellers"
1990;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;"54.3";"UNHABITAT_DHS";"Slum dwellers"
1993;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;43;"UNHABITAT_DHS";"Slum dwellers"
1993;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;"46.1";"UNHABITAT_DHS";"Slum dwellers"
1996;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;"45.8";"UNHABITAT_DHS";"Slum dwellers"
1996;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;"49.6";"UNHABITAT_DHS";"Slum dwellers"
1998;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;"35.6";"UNHABITAT_DHS";"Slum dwellers"
1998;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;"32.5";"UNHABITAT_DHS";"Slum dwellers"
2000;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;"32.6";"UNHABITAT_DHS";"Slum dwellers"
2000;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;27;"UNHABITAT_DHS";"Slum dwellers"
2001;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;29;"UNHABITAT_DHS";"Slum dwellers"
2001;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;"50.3";"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;"01/28/14";"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;"08/18/14";"UNHABITAT_DHS";"Slum dwellers"
2006;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;"51.9";"UNHABITAT_DHS";"Slum dwellers"
2006;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;"68.4";"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIKHM012";"Phnom Penh";;"95.4";"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"ASIKHM017010";"Siem Reab";;"45.8";"UNHABITAT_DHS";"Slum dwellers"
1990;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"LACCHL013005";"Santiago";;"86.6";"UNHABITAT_DHS";"Slum dwellers"
1993;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"LACCHL013005";"Santiago";;"87.9";"UNHABITAT_DHS";"Slum dwellers"
1998;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"LACCHL013005";"Santiago";;90;"UNHABITAT_DHS";"Slum dwellers"
2000;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"LACCHL013005";"Santiago";;"90.9";"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"LACCHL013005";"Santiago";;"92.2";"UNHABITAT_DHS";"Slum dwellers"
1990;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRCIV001002";"Abidjan";;"76.3";"UNHABITAT_DHS";"Slum dwellers"
1994;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRCIV001002";"Abidjan";;"84.2";"UNHABITAT_DHS";"Slum dwellers"
1993;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRCIV001002";"Abidjan";;"76.9";"UNHABITAT_DHS";"Slum dwellers"
1998;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRCIV001002";"Abidjan";;"66.3";"UNHABITAT_DHS";"Slum dwellers"
2000;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRCIV001002";"Abidjan";;"78.5";"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRCIV001002";"Abidjan";;"79.2";"UNHABITAT_DHS";"Slum dwellers"
2005;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRCIV001002";"Abidjan";;"79.3";"UNHABITAT_DHS";"Slum dwellers"
2000;;"improved_sanitation_cities";"Proportion of population with access to improved sanitation – Cities";"p";"Total";;"AFRCOD007";"Kinshasa";;"82.7";"UNHABITAT_DHS";"Slum dwellers"
