"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1996;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Benin";;;48.7;"UNHABITAT_DHS";"Slum dwellers"
2001;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Benin";;;49;"UNHABITAT_DHS";"Slum dwellers"
2006;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Benin";;;51.1;"UNHABITAT_DHS";"Slum dwellers"
1992;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Burkina Faso";;;47.1;"UNHABITAT_DHS";"Slum dwellers"
1999;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Burkina Faso";;;46.7;"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Burkina Faso";;;57.5;"UNHABITAT_DHS";"Slum dwellers"
1991;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Cameroon";;;26.1;"UNHABITAT_DHS";"Slum dwellers"
1998;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Cameroon";;;79.6;"UNHABITAT_DHS";"Slum dwellers"
2004;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Cameroon";;;77.1;"UNHABITAT_DHS";"Slum dwellers"
1994;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Central African Republic";;;51.5;"UNHABITAT_DHS";"Slum dwellers"
1997;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Chad";;;54.5;"UNHABITAT_DHS";"Slum dwellers"
2004;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Chad";;;47.8;"UNHABITAT_DHS";"Slum dwellers"
1996;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Comoros";;;72.2;"UNHABITAT_DHS";"Slum dwellers"
1994;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Côte d’Ivoire";;;77.8;"UNHABITAT_DHS";"Slum dwellers"
1998;;"improved_sanitation_countries";"Proportion of population with access to improved sanitation – Countries";"p";"Total";;"Côte d’Ivoire";;;72.8;"UNHABITAT_DHS";"Slum dwellers"
