"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"AL";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"AL";;;02/01/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"AM";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"AZ";;;02/02/14;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"AZ";;;"0.9";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"BA";;;03/01/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"BI";;;05/09/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"BJ";;;"0.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"CI";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"CM";;;07/04/14;"Urban numbers 1.0 data";"Slum dwellers"
2004;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"CM";;;07/06/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"ET";;;03/02/14;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"ET";;;02/03/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"GE";;;"0.8";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"GN";;;01/01/14;"Urban numbers 1.0 data";"Slum dwellers"
1999;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"GN";;;"0.8";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"GY";;;"0.4";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"HT";;;"0.7";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"HT";;;"0.7";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"ID";;;04/01/14;"Urban numbers 1.0 data";"Slum dwellers"
1997;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"ID";;;"0.6";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"IN";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"JM";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"KH";;;"0.2";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"KZ";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"LR";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"MD";;;05/01/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"MK";;;02/01/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_spring_surface_water";"Access to improved spring/surface water";"p";;;"MN";;;01/02/14;"Urban numbers 1.0 data";"Slum dwellers"
