"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"improved_toilet";"Access to improved toilet";"p";;;"AL";;;"98.6";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_toilet";"Access to improved toilet";"p";;;"AL";;;"99.4";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_toilet";"Access to improved toilet";"p";;;"AM";;;"95.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_toilet";"Access to improved toilet";"p";;;"AM";;;"98.6";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_toilet";"Access to improved toilet";"p";;;"AZ";;;"93.1";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_toilet";"Access to improved toilet";"p";;;"AZ";;;"71.8";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_toilet";"Access to improved toilet";"p";;;"BA";;;"98.9";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"improved_toilet";"Access to improved toilet";"p";;;"BD";;;"72.2";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"improved_toilet";"Access to improved toilet";"p";;;"BD";;;"77.4";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"improved_toilet";"Access to improved toilet";"p";;;"BD";;;"63.8";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"improved_toilet";"Access to improved toilet";"p";;;"BD";;;48;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_toilet";"Access to improved toilet";"p";;;"BD";;;"52.6";"Urban numbers 1.0 data";"Slum dwellers"
1992;;"improved_toilet";"Access to improved toilet";"p";;;"BF";;;"45.6";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"improved_toilet";"Access to improved toilet";"p";;;"BF";;;48;"Urban numbers 1.0 data";"Slum dwellers"
2003;;"improved_toilet";"Access to improved toilet";"p";;;"BF";;;58;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_toilet";"Access to improved toilet";"p";;;"BI";;;"43.3";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"improved_toilet";"Access to improved toilet";"p";;;"BJ";;;"49.1";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"improved_toilet";"Access to improved toilet";"p";;;"BJ";;;"48.3";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_toilet";"Access to improved toilet";"p";;;"BJ";;;"50.7";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"improved_toilet";"Access to improved toilet";"p";;;"BO";;;"63.7";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"improved_toilet";"Access to improved toilet";"p";;;"BO";;;"62.9";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"improved_toilet";"Access to improved toilet";"p";;;"BO";;;"70.8";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"improved_toilet";"Access to improved toilet";"p";;;"BR";;;"83.8";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"improved_toilet";"Access to improved toilet";"p";;;"BR";;;"76.5";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_toilet";"Access to improved toilet";"p";;;"BY";;;"99.5";"Urban numbers 1.0 data";"Slum dwellers"
