"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"improved_water";"Access to improved water";"p";;;"AL";;;100;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_water";"Access to improved water";"p";;;"AL";;;"97.4";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_water";"Access to improved water";"p";;;"AM";;;"98.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_water";"Access to improved water";"p";;;"AM";;;"99.4";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_water";"Access to improved water";"p";;;"AZ";;;"87.8";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"improved_water";"Access to improved water";"p";;;"AZ";;;"89.2";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_water";"Access to improved water";"p";;;"BA";;;"99.6";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"improved_water";"Access to improved water";"p";;;"BD";;;"98.7";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"improved_water";"Access to improved water";"p";;;"BD";;;"99.2";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"improved_water";"Access to improved water";"p";;;"BD";;;"99.3";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"improved_water";"Access to improved water";"p";;;"BD";;;99;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_water";"Access to improved water";"p";;;"BD";;;99;"Urban numbers 1.0 data";"Slum dwellers"
1992;;"improved_water";"Access to improved water";"p";;;"BF";;;"66.3";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"improved_water";"Access to improved water";"p";;;"BF";;;"80.9";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"improved_water";"Access to improved water";"p";;;"BF";;;"93.9";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_water";"Access to improved water";"p";;;"BI";;;"77.5";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"improved_water";"Access to improved water";"p";;;"BJ";;;"74.1";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"improved_water";"Access to improved water";"p";;;"BJ";;;"78.2";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_water";"Access to improved water";"p";;;"BJ";;;"82.4";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"improved_water";"Access to improved water";"p";;;"BO";;;"89.3";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"improved_water";"Access to improved water";"p";;;"BO";;;93;"Urban numbers 1.0 data";"Slum dwellers"
2004;;"improved_water";"Access to improved water";"p";;;"BO";;;"91.1";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"improved_water";"Access to improved water";"p";;;"BR";;;"85.2";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"improved_water";"Access to improved water";"p";;;"BR";;;"88.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"improved_water";"Access to improved water";"p";;;"BY";;;"99.8";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"improved_water";"Access to improved water";"p";;;"BZ";;;"99.1";"Urban numbers 1.0 data";"Slum dwellers"
