"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1990;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA025";"Constantine";;98;"UNHABITAT_DHS";"Slum dwellers"
1990;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA009";"Blida";;98;"UNHABITAT_DHS";"Slum dwellers"
1990;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA019";"Setif";;98;"UNHABITAT_DHS";"Slum dwellers"
1990;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA012";"Tebessa";;98;"UNHABITAT_DHS";"Slum dwellers"
1993;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA031";"Oran";;98;"UNHABITAT_DHS";"Slum dwellers"
1993;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA025";"Constantine";;98;"UNHABITAT_DHS";"Slum dwellers"
1993;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA009";"Blida";;98;"UNHABITAT_DHS";"Slum dwellers"
1993;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA019";"Setif";;98;"UNHABITAT_DHS";"Slum dwellers"
1993;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA012";"Tebessa";;98;"UNHABITAT_DHS";"Slum dwellers"
1998;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA031";"Oran";;98;"UNHABITAT_DHS";"Slum dwellers"
1998;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA025";"Constantine";;98;"UNHABITAT_DHS";"Slum dwellers"
1998;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA009";"Blida";;98;"UNHABITAT_DHS";"Slum dwellers"
1998;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA019";"Setif";;98;"UNHABITAT_DHS";"Slum dwellers"
1998;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA012";"Tebessa";;98;"UNHABITAT_DHS";"Slum dwellers"
2000;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA031";"Oran";;98;"UNHABITAT_DHS";"Slum dwellers"
2000;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA025";"Constantine";;98;"UNHABITAT_DHS";"Slum dwellers"
2000;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA009";"Blida";;98;"UNHABITAT_DHS";"Slum dwellers"
2000;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA019";"Setif";;98;"UNHABITAT_DHS";"Slum dwellers"
2000;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA012";"Tebessa";;98;"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA031";"Oran";;98;"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA025";"Constantine";;98;"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA009";"Blida";;98;"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA019";"Setif";;92;"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRDZA012";"Tebessa";;92;"UNHABITAT_DHS";"Slum dwellers"
2000;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRAGO004001";"Luanda";;"67.3";"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"AFRAGO004001";"Luanda";;"51.9";"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"ASIARM018015";"ASIARM018015";;"99.4";"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"ASIAZE011001";"Baku";;"91.6";"UNHABITAT_DHS";"Slum dwellers"
1994;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"ASIBGD003001";"Dhaka";;"99.1";"UNHABITAT_DHS";"Slum dwellers"
1994;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"ASIBGD006013";"Rajshahi";;100;"UNHABITAT_DHS";"Slum dwellers"
1996;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"ASIBGD003001";"Dhaka";;"99.4";"UNHABITAT_DHS";"Slum dwellers"
1996;;"improved_water_sustainable_access_cities";"Proportion of population with sustainable access to an improved water source – Cities";"p";"Total";;"ASIBGD006013";"Rajshahi";;100;"UNHABITAT_DHS";"Slum dwellers"
