"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1996;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Benin";;;74.1;"UNHABITAT_DHS";"Slum dwellers"
2001;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Benin";;;78.2;"UNHABITAT_DHS";"Slum dwellers"
2006;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Benin";;;82.4;"UNHABITAT_DHS";"Slum dwellers"
1992;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Burkina Faso";;;66.3;"UNHABITAT_DHS";"Slum dwellers"
1999;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Burkina Faso";;;80.9;"UNHABITAT_DHS";"Slum dwellers"
2003;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Burkina Faso";;;93.9;"UNHABITAT_DHS";"Slum dwellers"
1991;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Cameroon";;;76.5;"UNHABITAT_DHS";"Slum dwellers"
1998;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Cameroon";;;76.5;"UNHABITAT_DHS";"Slum dwellers"
2004;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Cameroon";;;86;"UNHABITAT_DHS";"Slum dwellers"
1994;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Central African Republic";;;51.6;"UNHABITAT_DHS";"Slum dwellers"
1997;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Chad";;;30.5;"UNHABITAT_DHS";"Slum dwellers"
2004;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Chad";;;73.5;"UNHABITAT_DHS";"Slum dwellers"
1996;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Comoros";;;94.6;"UNHABITAT_DHS";"Slum dwellers"
1994;;"improved_water_sustainable_access_countries";"Proportion of population with sustainable access to an improved water source – Countries";"p";"Total";;"Côte d’Ivoire";;;78.3;"UNHABITAT_DHS";"Slum dwellers"
