"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC050";"Boaco";;404;"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC075";"Carazo";;459;"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC030";"Chinandega";;"0.45";"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC065";"Chontales";;414;"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC025";"Esteli";;454;"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC070";"Granada";;409;"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC010";"Jinotega";;"0.48";"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC035";"Leon";;401;"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC020";"Madriz";;412;"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC055";"Managua";;"0.44";"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC060";"Masaya";;399;"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC040";"Matagalpa";;"0.51";"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC005";"Nueva Segovia";;485;"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC085";"Rio San Juan";;442;"Different sources";"Slum dwellers"
2001;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"LACNIC080";"Rivas";;"0.37";"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRKEN006006";"Migori";;463;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRKEN006003";"Kisii/Central Kisii";;473;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRKEN006002";"Homa Bay";;477;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRKEN006009";"Siaya";;488;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRKEN006011";"Bondo";;489;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRUGA002002";"Busia";;"0.53";"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRUGA001008";"Mukono";;604;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRUGA002001";"Bugiri";;"0.61";"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRUGA001005";"Masaka";;623;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRUGA002003";"Iganga";;657;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRUGA002004";"Jinja";;511;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRTZA018002";"Bukoba Rural";;545;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRTZA018003";"Muleba";;546;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRTZA019006";"Geita";;572;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRTZA019005";"Sengerema";;576;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRTZA020004";"Bunda";;629;"Different sources";"Slum dwellers"
2006;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRTZA020005";"Musoma Urban";;649;"Different sources";"Slum dwellers"
1993;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRZAF001006";"Cape Town";;"0.48";"Different sources";"Slum dwellers"
1993;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"AFRZAF007004";"City of Johannesburg";;463;"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND025045";"Allahabad";;"0.39";"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND005041";"Araria";;"0.43";"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND025046";"Bahraich";;"0.37";"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND025042";"Banda";;"0.43";"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND025053";"Basti";;"0.35";"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND005027";"Bhagalpur";;"0.41";"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND005003";"Bhojpur";;"0.39";"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND025049";"Faizabad";;"0.28";"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND005007";"Gaya";;"0.47";"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND025054";"Gorakhpur";;"0.46";"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND025041";"Hamirpur";;"0.34";"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND025058";"Jaunpur";;"0.36";"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND005006";"Jehanabad";;"0.46";"Different sources";"Slum dwellers"
1997;;"income_gini_coefficient_cities";"Income Gini Coefficient – Cities";"r";"Urban";;"ASIIND005022";"Madhepura";;"0.43";"Different sources";"Slum dwellers"
