year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;United Kingdom;London;;0.997;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Japan;Tokyo ;;0.989;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Finland;Helsinki ;;0.997;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Netherlands;Amsterdam ;;0.995;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;France;Paris ;;0.996;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Canada;Toronto;;0.997;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Spain;Barcelona ;;0.995;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Greece;Athens ;;0.996;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Denmark;Copenhagen ;;0.997;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Belgium;Brussels ;;0.997;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;United States of America;New York;;0.994;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Mexico;Mexico City;;0.96;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Newzealand;Auckland ;;0.994;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;China;Beijing ;;0.911;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Russia;Moscow;;0.96;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Brazil;Sao Paulo;;0.918;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Egypt;Cairo;;0.916;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Thailand;Bangkok ;;0.871;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Colombia;Medellin ;;0.959;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Morocco;Casablanca;;0.827;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;South Africa;Cape Town;;0.933;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Guatemala;Guatemala City;;0.823;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Senegal;Dakar ;;0.794;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Armenia;Yerevan ;;0.87;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Bolivia;La Paz;;0.745;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Kenya;Nairobi ;;0.86;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;United Republic of Tanzania;Dar-es-salam;;0.607;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Ghana;Accra ;;0.737;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Bangladesh;Dhaka;;0.673;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;South Africa;Johannesburg;;0.88;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Ethiopia;Addis Ababa ;;0.521;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Nigeria;Lagos;;0.576;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
