"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2012;;"intersection_density_total";"Intersection density (km²) – total";"n";;;"Philippines";"Benguet";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"intersection_density_total";"Intersection density (km²) – total";"n";;;"Philippines";"Baguio City";;212;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"intersection_density_total";"Intersection density (km²) – total";"n";;;"Philippines";"Kalinga";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"intersection_density_total";"Intersection density (km²) – total";"n";;;"Philippines";"Tabuk City";;11;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"intersection_density_total";"Intersection density (km²) – total";"n";;;"Philippines";"Ilocos Norte";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"intersection_density_total";"Intersection density (km²) – total";"n";;;"Philippines";"Laoag City";;102;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"intersection_density_total";"Intersection density (km²) – total";"n";;;"Philippines";"Batac City";;144;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"intersection_density_total";"Intersection density (km²) – total";"n";;;"Philippines";"Ilocos Sur";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"intersection_density_total";"Intersection density (km²) – total";"n";;;"Philippines";"Candon City";;22;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"intersection_density_total";"Intersection density (km²) – total";"n";;;"Philippines";"Vigan City";;31;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
2012;;"intersection_density_total";"Intersection density (km²) – total";"n";;;"Philippines";"La Union";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Streets"
