"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"Australia";"Melbourne";;"184.1";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"Australia";"Sydney";;"179.2";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"Belgium";"Brussels ";;"141.5";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"Canada";"Calgary";;"161.1";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"Canada";"Montreal";;"214.9";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"Canada";"Toronto";;"254.3";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"Denmark";"Copenhagen ";;130;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"Finland";"Helsinki ";;"276.7";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"France";"Paris ";;"242.9";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"Greece";"Athens ";;"255.9";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"Netherlands";"Amsterdam ";;"314.4";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"New Zealand";"Auckland ";;"72.9";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"Russia";"Moscow";;"86.9";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_city_core";"Intersection density (km²) – city core";"n";"city_core";;"Russia";"Saint Petersburg ";;"113.3";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
