"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Australia";"Melbourne";;" ";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Australia";"Sydney";;" ";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Belgium";"Brussels ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Canada";"Calgary";;"39.1";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Canada";"Montreal";;" ";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Canada";"Toronto";;"125.4";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Denmark";"Copenhagen ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Finland";"Helsinki ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"France";"Paris ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Greece";"Athens ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Netherlands";"Amsterdam ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Newzealand";"Auckland ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Russia";"Moscow";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Russia";"Saint Petersburg ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Spain";"Barcelona ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"United Kingdom";"London";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"United States of America";"Los Angeles";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"United States of America";"New York ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"United States of America";"Phoenix";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"United States of America";"Washington, D.C.";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Armenia";"Yerevan ";;"5.2";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Bangladesh";"Dhaka";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Bolivia";"La Paz";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Brazil";"Brasilia ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Brazil";"Sao Paulo";;"63.9";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Burkina Faso";"Ouagadougou ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Central African Republic";"Bangui ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"China";"Beijing ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"China, Hong Kong SAR";"Hong Kong ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Colombia";"Bogota";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Colombia";"Medellin ";;"66.3";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Egypt";"Alexandria";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Egypt";"Cairo";;143;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Ethiopia";"Addis Ababa ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Ghana";"Accra ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"intersection_density_total";"Intersection density (#/km²) – total";"n";"total";;"Guatemala";"Guatemala City";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
