"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Australia";"Melbourne";;0.462;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Australia";"Sydney";;0.434;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Belgium";"Brussels ";;0.415;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Canada";"Calgary";;0.218;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Canada";"Montreal";;0.603;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Canada";"Toronto";;0.593;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Denmark";"Copenhagen ";;0.187;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Finland";"Helsinki ";;0.689;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"France";"Paris ";;0.451;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Greece";"Athens ";;0.5;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Netherlands";"Amsterdam ";;0.46;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"New zealand";"Auckland ";;0.202;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Russia";"Moscow";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Russia";"Saint Petersburg ";;0.216;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Spain";"Barcelona ";;0.312;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"United Kingdom";"London";;0.588;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"United States of America";"Los Angeles";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"United States of America";"New York ";;0.413;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"United States of America";"Phoenix";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"United States of America";"Washington, D.C.";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Armenia";"Yerevan ";;0.019;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Bangladesh";"Dhaka";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Bolivia";"La Paz";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Brazil";"Brasilia ";;0.193;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Brazil";"Sao Paulo";;0.226;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Burkina Faso";"Ouagadougou ";;0.264;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Central African Republic";"Bangui ";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"China";"Beijing ";;0.073;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"China, Hong Kong SAR";"Hong Kong ";;0.291;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Colombia";"Bogota";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Colombia";"Medellin ";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Egypt";"Alexandria";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"intersection_density_index_sub_urban_area";"Intersection density index – Sub urban area";"index";"sub_urban_area";;"Egypt";"Cairo";;;"Table 2: Composite Street Connectivity Index ";"Streets"
