"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Australia";"Melbourne";;0.409;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Australia";"Sydney";;0.394;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Belgium";"Brussels ";;0.44;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Canada";"Calgary";;0.253;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Canada";"Montreal";;0.484;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Canada";"Toronto";;0.516;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Denmark";"Copenhagen ";;0.266;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Finland";"Helsinki ";;0.304;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"France";"Paris ";;0.414;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Greece";"Athens ";;0.429;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Netherlands";"Amsterdam ";;0.36;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Newzealand";"Auckland ";;0.312;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Russia";"Moscow";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Russia";"Saint Petersburg ";;0.25;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Spain";"Barcelona ";;0.415;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"United Kingdom";"London";;0.483;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"United States of America";"Los Angeles";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"United States of America";"New York ";;0.39;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"United States of America";"Phoenix";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"United States of America";"Washington, D.C.";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Armenia";"Yerevan ";;0.023;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Bangladesh";"Dhaka";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Bolivia";"La Paz";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Brazil";"Brasilia ";;0.247;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Brazil";"Sao Paulo";;0.295;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Burkina Faso";"Ouagadougou ";;0.173;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Central African Republic";"Bangui ";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"China";"Beijing ";;0.177;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"China, Hong Kong SAR";"Hong Kong ";;0.279;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Colombia";"Bogota";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Colombia";"Medellin ";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Egypt";"Alexandria";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Egypt";"Cairo";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Ethiopia";"Addis Ababa ";;0.185;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Ghana";"Accra ";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Guatemala";"Guatemala City";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Guyana";"Georgetown ";;0.208;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"India";"Chandigarh ";;0.264;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"India";"Kolkota ";;0.275;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"India";"Mumbai";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Indonesia";"Jakarta";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Japan";"Tokyo ";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Kenya";"Nairobi ";;0.136;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Malaysia";"Kuala Lumpurﾠ";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Mexico";"Guadalajara ";;0.4;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Mexico";"Mexico City";;0.321;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Morocco";"Casablanca";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Nigeria";"Abuja ";;0.178;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Nigeria";"Lagos";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Philippines";"Manila";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Rwanda";"Kigali ";;;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Senegal";"Dakar ";;0.069;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"Singapore";"Singapore ";;0.307;"Table 2: Composite Street Connectivity Index ";"Streets"
"2013";;"land_allocated_to_street_index_sub_urban_area";"Land Allocated to Street Index – suburban area";"index";"sub_urban_area";;"South Africa";"Cape Town";;0.483;"Table 2: Composite Street Connectivity Index ";"Streets"
