"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"Burkina Faso";;;"92495";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"Central African Republic";;;"24307";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"Egypt";;;"100472";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"Ethiopia";;;"44359";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"Ghana";;;"109515";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"Kenya";;;"61945";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"Morocco";;;"58216";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"Nigeria";;;"1932";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"Rwanda";;;"14008";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"Senegal";;;"14825";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"United Republic of Tanzania";;;"103706";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"Armenia";;;"7705";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"Bangladesh";;;"239226";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
"2009";;"total_length_road";"Total length of road network (in km)";"n";;;"China";;;"3860823";"Table 15: Length of Street Network, Street Density and Percentage of Paved Streets";"Public spaces"
