"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2005;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Egypt";;;64.9;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1996;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Benin";;;44.2;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2001;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Benin";;;43.5;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2006;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Benin";;;61.9;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1992;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Burkina Faso";;;47.7;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Burkina Faso";;;49.6;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2003;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Burkina Faso";;;45;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1991;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Cameroon";;;71.7;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1998;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Cameroon";;;80.6;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2004;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Chad";;;47.1;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Congo";;;89.6;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1994;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Côte d’Ivoire";;;37.2;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Côte d’Ivoire";;;38.1;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Ethiopia";;;77.6;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Ethiopia";;;81.9;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1993;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Ghana";;;61.8;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Ghana";;;70.8;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Guinea";;;35.1;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"literacy_rate_1_shelter_deprivation";"Literacy rate by shelter deprivation – 1 Shelter deprivation";"p";"1 Shelter deprivation";;"Guinea";;;45.9;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
