year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2006;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Benin;;;58.6;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2001;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Benin;;;23.9;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1996;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Benin;;;22.2;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2003;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Burkina Faso;;;38.8;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1999;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Burkina Faso;;;32.5;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1992;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Burkina Faso;;;34.2;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1998;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Cameroon;;;69.7;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1991;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Cameroon;;;52.6;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1994;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Central African Republic;;;62.3;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2004;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Chad;;;36.7;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2005;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Congo;;;85.6;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1999;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Côte d’Ivoire;;;49.6;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1994;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Côte d’Ivoire;;;30.7;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2005;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Egypt;;;75.7;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2005;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Ethiopia;;;72.5;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2000;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Ethiopia;;;60.1;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1999;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Ghana;;;52.5;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1993;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Ghana;;;46.4;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2005;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Guinea;;;29.8;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1999;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Guinea;;;27;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2001;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Mali;;;21.4;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1996;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Mali;;;27.4;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2003;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Mozambique;;;55.8;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1997;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Mozambique;;;53.1;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2003;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Nigeria;;;55.1;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1999;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Nigeria;;;55.2;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1990;;literacy_rate_women_2_shelter_deprivation;Literacy rate by shelter deprivation (Women) - 2 Shelter deprivation;p;2 Shelter deprivation;;Nigeria;;;49.5;UNHABITAT_UNHABITAT_DHS;Slum dwellers
