"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2006;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Benin";;;11.3;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2001;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Benin";;;6.4;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1996;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Benin";;;5.1;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2003;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Burkina Faso";;;13.8;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Burkina Faso";;;33.3;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1992;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Burkina Faso";;;16.3;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1998;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Cameroon";;;44.3;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1991;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Cameroon";;;34.3;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1994;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Central African Republic";;;47.1;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2004;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Chad";;;30.9;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Congo";;;75.9;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Côte d’Ivoire";;;50;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1994;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Côte d’Ivoire";;;16.7;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Egypt";;;50;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"literacy_rate_women_3_shelter_deprivation";"Literacy rate by shelter deprivation (Women) - 3 Shelter deprivation";"p";"3 Shelter deprivation";;"Ethiopia";;;74.4;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
